cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
20561	ENSMUSG00000074457	S100a16	1.29e-81	2.4e-79	0.783	chr3	[90537418 90541191 90541195 90541318]	[90541994]	True	5' UTR	
14873	ENSMUSG00000018217	Pmp22	9.16e-45	8.52e-43	0.435	chr11	[63129151 63131655]	[63133125]	False	5' UTR	
10991	ENSMUSG00000030695	Aldoa	1.14e-25	7.09e-24	0.294	chr7	[126797777]	[126799045 126800002 126800288]	True	CDS	
10691	ENSMUSG00000030605	Mfge8	1.37e-19	6.39e-18	0.247	chr7	[79143051]	[79143278 79145247]	True	CDS	
19214	ENSMUSG00000025026	Add3	2.52e-12	9.37e-11	0.613	chr19	[53140715 53143090]	[53216801]	True	5' UTR	
14874	ENSMUSG00000018217	Pmp22	1.97e-09	6.1e-08	0.391	chr11	[63129151 63131655]	[63133128]	False	5' UTR	
1417	ENSMUSG00000090841	Myl6	6.53e-09	1.52e-07	0.207	chr10	[128491034]	[128491720 128492059]	True	CDS	
20982	ENSMUSG00000073889	Il11ra1	2.81e-08	5.81e-07	0.195	chr4	[41760552 41762424]	[41763582]	True	5' UTR	
6211	ENSMUSG00000025781	Atp5c1	8.84e-08	1.65e-06	0.241	chr2	[10056162]	[10056770 10058996]	True	CDS	
11162	ENSMUSG00000038650	Rnh1	7.69e-07	1.3e-05	0.301	chr7	[141166788]	[141168676 141172742]	True	CDS	
12083	ENSMUSG00000031996	Aplp2	8.96e-07	1.39e-05	0.221	chr9	[31164674]	[31167561 31168708]	True	CDS	
16501	ENSMUSG00000025290	Rps24	1.17e-06	1.67e-05	0.181	chr14	[24493494 24494070]	[24495430]	True	CDS	
21570	ENSMUSG00000028745	Capzb	1.53e-06	2.03e-05	0.105	chr4	[139287833 139288974]	[139291003]	True	CDS	
10023	ENSMUSG00000038521	C1s1	2.41e-06	2.98e-05	0.125	chr6	[124541489]	[124542193 124542268]	True	5' UTR	
12082	ENSMUSG00000031996	Aplp2	2.8e-06	3.26e-05	0.164	chr9	[31153500]	[31156190 31157695]	True	CDS	
10586	ENSMUSG00000003420	Fcgrt	5.86e-06	6.41e-05	0.152	chr7	[45102186]	[45102402 45102414]	True	CDS	
13884	ENSMUSG00000038587	Akap12	6.86e-06	7.09e-05	0.233	chr10	[4313858 4334710]	[4353142]	True	CDS	
21894	ENSMUSG00000029106	Add1	8.46e-06	8.29e-05	0.207	chr5	[34620135 34620919]	[34625279]	True	CDS	
17666	ENSMUSG00000022708	Zbtb20	1.09e-05	9.99e-05	0.354	chr16	[43569782 43577194]	[43577561]	True	5' UTR	
1552	ENSMUSG00000001891	Ugp2	1.13e-05	9.99e-05	0.316	chr11	[21354407]	[21370187 21371015]	True	CDS	
8130	ENSMUSG00000028559	Osbpl9	3.31e-05	0.000268	0.338	chr4	[109102593]	[109117895 109133744]	True	CDS	
10092	ENSMUSG00000030189	Ybx3	5.89e-05	0.000457	0.176	chr6	[131370415]	[131375974 131379358]	True	CDS	
15389	ENSMUSG00000020612	Prkar1a	0.000127	0.000941	0.156	chr11	[109650625 109651074]	[109653779]	True	5' UTR	
