cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
20561	ENSMUSG00000074457	S100a16		1.41e-306	0.737	chr3	[90537418 90541191 90541195 90541318]	[90541994]	True	5' UTR	
14052	ENSMUSG00000004207	Psap	1.91e-224	1.15e-221	0.598	chr10	[60296003 60297546]	[60299098]	True	CDS	
17654	ENSMUSG00000061080	Lsamp	3.96e-147	1.59e-144	0.858	chr16	[42144701 42168184]	[42174145]	True	CDS	
24515	ENSMUSG00000031517	Gpm6a	1.4e-136	4.1899999999999997e-134	0.693	chr8	[54779651 54955316]	[55037328]	False	5' UTR	
118	ENSMUSG00000060424	Pantr1	3.08e-106	7.4e-104	0.511	chr1	[42667004]	[42667586 42692941 42694747]	True	Non-coding	
24801	ENSMUSG00000031785	Adgrg1	2.7300000000000003e-88	5.47e-86	0.631	chr8	[94984658 94993064 94994490 94995799]	[95002439]	True	5' UTR	
22009	ENSMUSG00000037736	Limch1	1.4800000000000001e-80	2.54e-78	0.545	chr5	[66961268 66968734]	[66969076]	True	CDS	
12083	ENSMUSG00000031996	Aplp2	2.22e-74	3.34e-72	0.534	chr9	[31164674]	[31167561 31168708]	True	CDS	
12082	ENSMUSG00000031996	Aplp2	2.49e-67	3.33e-65	0.436	chr9	[31153500]	[31156190 31157695]	True	CDS	
22935	ENSMUSG00000054226	Tprkb	3.7e-63	4.4399999999999994e-61	0.584	chr6	[85915368 85915791 85920025]	[85921423]	True	5' UTR	
12190	ENSMUSG00000039542	Ncam1	5.11e-63	5.5799999999999996e-61	0.4	chr9	[49546309]	[49550540 49557096]	True	CDS	
7675	ENSMUSG00000032826	Ank2	4.2499999999999997e-60	4.25e-58	0.845	chr3	[126997952]	[126998324 126998877]	True	CDS	
8264	ENSMUSG00000028649	Macf1	1.14e-59	1.05e-57	0.544	chr4	[123554366]	[123565189 123613587 123664466 123683970]	False	CDS	
17704	ENSMUSG00000055447	Cd47	6.47e-59	5.55e-57	0.238	chr16	[49898133 49899901]	[49906781]	True	CDS	
25634	ENSMUSG00000032479	Map4	5.44e-55	4.36e-53	0.705	chr9	[110036856 110053523]	[110063017]	True	CDS	
17748	ENSMUSG00000022744	Cldnd1	1.3e-52	9.77e-51	0.513	chr16	[58728085 58729224]	[58729438]	True	5' UTR	
1552	ENSMUSG00000001891	Ugp2	7.85e-50	5.539999999999999e-48	0.431	chr11	[21354407]	[21370187 21371015]	True	CDS	
20226	ENSMUSG00000027525	Phactr3	4.85e-47	3.24e-45	0.573	chr2	[178142500 178193194]	[178256113]	True	CDS	
13009	ENSMUSG00000031431	Tsc22d3	6.5e-47	4.11e-45	0.346	chrX	[140542157]	[140542511 140542846 140548196 140548339 140598128]	False	CDS	
24645	ENSMUSG00000031808	Slc27a1	4.25e-46	2.55e-44	0.33	chr8	[71569024 71569038 71569433 71569449 71569842 71570313]	[71570721]	False	5' UTR	
16753	ENSMUSG00000022037	Clu	2.55e-45	1.4600000000000002e-43	0.091	chr14	[65968689 65969900 65971176]	[65971732]	True	5' UTR	
22319	ENSMUSG00000029462	Vps29	9.35e-44	5.1099999999999996e-42	0.351	chr5	[122354477 122356806]	[122360013]	True	CDS	
25231	ENSMUSG00000032076	Cadm1	9.75e-42	5.09e-40	0.377	chr9	[47813946 47818818]	[47829377]	True	CDS	
18567	ENSMUSG00000024302	Dtna	3.54e-39	1.77e-37	0.768	chr18	[23310272 23352678 23415626]	[23475116]	False	5' UTR	
12686	ENSMUSG00000032523	Hhatl	1.55e-36	7.43e-35	0.76	chr9	[121790762]	[121791179 121792263]	True	5' UTR	
14741	ENSMUSG00000020333	Acsl6	5.540000000000001e-35	2.56e-33	0.554	chr11	[54303923 54304334 54315208]	[54320152]	True	5' UTR	
11316	ENSMUSG00000008892	Vdac3	1.11e-34	4.9300000000000004e-33	0.465	chr8	[22583737]	[22587550 22587553]	True	CDS	
18568	ENSMUSG00000024302	Dtna	4.32e-34	1.85e-32	0.471	chr18	[23475243 23497704]	[23535162]	True	5' UTR	
16486	ENSMUSG00000039197	Adk	3.97e-33	1.6400000000000001e-31	0.38	chr14	[21052701 21076322]	[21092367]	True	CDS	
16911	ENSMUSG00000022272	Myo10	8.24e-33	3.3000000000000004e-31	0.702	chr15	[25744257 25753321]	[25776021]	True	CDS	
10548	ENSMUSG00000008140	Emc10	2.49e-31	9.639999999999999e-30	0.395	chr7	[44490971]	[44491163 44491955]	True	CDS	
5616	ENSMUSG00000024500	Ppp2r2b	2.29e-30	8.59e-29	0.475	chr18	[42741194]	[42898745 43059162]	True	CDS	
2673	ENSMUSG00000021087	Rtn1	2.1300000000000002e-29	7.62e-28	0.63	chr12	[72223540]	[72236529 72303657]	True	CDS	
