cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
18211	ENSMUSG00000058589	Anks1b	3.17e-73	1.53e-69	0.717	chr10	[90895207 90897427 90914768]	[90921296]	True	CDS	2547.0
20522	ENSMUSG00000054728	Phactr1	5.66e-55	1.37e-51	0.871	chr13	[43057347 43059778]	[43077655]	True	CDS	2236.0
1745	ENSMUSG00000090841	Myl6	1.01e-54	1.62e-51	0.456	chr10	[128491034]	[128491286 128491290 128491720 128492059]	True	CDS	19239.0
15322	ENSMUSG00000031996	Aplp2	3.2e-53	3.86e-50	0.509	chr9	[31164674]	[31167561 31168708]	True	CDS	1509.0
14021	ENSMUSG00000030695	Aldoa	5.559999999999999e-52	5.37e-49	0.109	chr7	[126797777]	[126797974 126798196 126798676 126798823 126799045 126800002 126800288]	True	CDS	2816.0
8337	ENSMUSG00000017412	Cacnb4	1.27e-41	1.02e-38	0.63	chr2	[52477812]	[52556202 52558269 52656675 52675728]	True	CDS	4375.0
3934	ENSMUSG00000025871	4833439L19Rik	2.17e-41	1.5e-38	0.71	chr13	[54561872]	[54564185 54564515 54565182]	True	CDS	3038.0
32114	ENSMUSG00000032076	Cadm1	3.2699999999999998e-40	1.97e-37	0.394	chr9	[47813877 47813946 47818818 47829410 47836771]	[47848167]	True	CDS	4260.0
16321	ENSMUSG00000031137	Fgf13	6.95e-36	3.73e-33	0.557	chrX	[59131951]	[59133621 59133877 59135170 59250799 59567140]	False	CDS	3156.0
5887	ENSMUSG00000022523	Fgf12	2.3900000000000002e-35	1.16e-32	0.196	chr16	[28398389]	[28444993 28564240 28564575 28752834 28753146]	True	CDS	8419.0
4601	ENSMUSG00000015759	Cnih1	7.83e-33	3.44e-30	0.196	chr14	[46780226]	[46783826 46784112]	True	CDS	16498.0
31578	ENSMUSG00000036564	Ndrg4	1.7100000000000001e-29	6.870000000000001e-27	0.281	chr8	[95711145 95712364]	[95713178]	True	CDS	1430.0
17101	ENSMUSG00000026150	Mff	2.0500000000000002e-29	7.61e-27	0.163	chr1	[82735508 82741977 82747143]	[82750520]	True	CDS	4795.0
19431	ENSMUSG00000018411	Mapt	3.15e-28	1.09e-25	0.105	chr11	[104310535 104318250 104318276]	[104321351]	False	CDS	1274.0
