cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
3888	ENSMUSG00000057531	Dtnbp1	0.0	0.0	0.35	chr13	[44931152]	[44946172 44946865 44946869 44948505 44953172 44970046]	False	CDS	778.0
14021	ENSMUSG00000030695	Aldoa	0.0	0.0	0.13	chr7	[126797777]	[126797974 126798196 126798676 126798823 126799045 126800002 126800288]	True	CDS	93.0
16027	ENSMUSG00000032503	Arpp21			0.25	chr9	[112187767]	"[112187854 112187861 112187903 112188021 112188124 112206245 112219803
 112228864 112230916 112232335 112233092 112233646 112234310 112235646
 112235650]"	True	5' UTR	13205.0
5887	ENSMUSG00000022523	Fgf12	3.85e-205	1.31e-201	0.115	chr16	[28398389]	[28444993 28564240 28564575 28752834 28753146]	True	CDS	1744.0
22274	ENSMUSG00000008658	Rbfox1	6.000000000000001e-179	1.64e-175	0.215	chr16	[6809249 7039201 7040026 7193878 7217830]	[7224311]	False	CDS	971.0
20949	ENSMUSG00000021759	Plpp1	4.75e-168	9.26e-165	0.383	chr13	[112801267 112835014 112841066 112851555]	[112856746]	False	CDS	1736.0
22272	ENSMUSG00000008658	Rbfox1	6.19e-137	1.06e-133	0.213	chr16	[6173668 6348855 6349228 6349232 6365605]	[6487819]	False	5' UTR	971.0
191	ENSMUSG00000060424	Pantr1	1.05e-132	1.59e-129	0.338	chr1	[42667004]	"[42687111 42688714 42692941 42694396 42694747 42694790 42697173 42697504
 42697758 42698585]"	True	Non-coding	1061.0
22972	ENSMUSG00000024158	Hagh	1.4799999999999998e-128	2.0300000000000001e-125	0.051	chr17	[24840282 24850209 24850669 24850756]	[24852731]	True	5' UTR	1959.0
31578	ENSMUSG00000036564	Ndrg4	2.87e-128	3.5700000000000003e-125	0.108	chr8	[95711145 95712364]	[95713178]	True	CDS	2300.0
12944	ENSMUSG00000030209	Grin2b	2.84e-127	3.24e-124	0.075	chr6	[136171883]	"[136171981 136172036 136172139 136172268 136172493 136172865 136173330
 136173473]"	True	5' UTR	3590.0
26251	ENSMUSG00000028059	Arhgef2	2.88e-115	3.03e-112	0.239	chr3	[88616655 88621322 88621600 88622598 88629564 88629648 88629691]	[88629787]	True	CDS	2256.0
18904	ENSMUSG00000033066	Gas7	7.18e-111	7e-108	0.267	chr11	[67455775 67571351 67596700]	[67603108]	False	CDS	3828.0
6950	ENSMUSG00000024109	Nrxn1	1.44e-110	1.31e-107	0.279	chr17	[90162434]	[90163792 90208323]	True	CDS	651.0
5807	ENSMUSG00000013539	Tango2	1.6e-110	1.37e-107	0.234	chr16	[18316735]	[18319744 18324357 18343798 18347871]	True	CDS	2224.0
16321	ENSMUSG00000031137	Fgf13	4.41e-109	3.54e-106	0.371	chrX	[59131951]	[59133621 59133877 59135170 59250799 59567140]	False	CDS	2733.0
23453	ENSMUSG00000003279	Dlgap1	2.0599999999999998e-104	1.56e-101	0.085	chr17	[70516997 70521801 70522263 70522269 70522349 70561872 70583182]	[70593167]	True	CDS	9806.0
580	ENSMUSG00000036815	Dpp10	1.11e-102	8e-100	0.444	chr1	[123905177]	[124045125 124045372 124046786 124845719]	False	CDS	1276.0
1790	ENSMUSG00000020435	Osbp2	1.8e-101	1.23e-98	0.623	chr11	[3726576]	[3761949 3773706 3773718 3774587 3775104 3819837]	False	CDS	1647.0
17659	ENSMUSG00000026623	Lpgat1	6.04e-99	3.75e-96	0.171	chr1	[191719619 191720796 191723135]	[191749540]	False	CDS	245.0
16026	ENSMUSG00000032503	Arpp21	7.820000000000001e-99	4.64e-96	0.058	chr9	[112185770]	[112185908 112185987 112186464 112187470 112187590]	True	5' UTR	13205.0
20288	ENSMUSG00000017843	Ppp2r5c	2.6e-97	1.48e-94	0.21	chr12	[110466021 110485953]	[110522491]	True	CDS	3637.0
23279	ENSMUSG00000039601	Rcan2	4.02e-97	2.2e-94	0.353	chr17	[43836498 43953538]	[44017767]	True	CDS	589.0
10359	ENSMUSG00000028399	Ptprd	1.82e-96	9.549999999999999e-94	0.306	chr4	[76325346]	[76388050 76449643 76594267]	True	5' UTR	2302.0
30392	ENSMUSG00000052572	Dlg2	6.35e-96	3.21e-93	0.246	chr7	[91449916 91543192 91672955 91711799]	[91733091]	True	CDS	3867.0
5389	ENSMUSG00000018865	Sult4a1	1.91e-93	9.31e-91	0.055	chr15	[84077583]	[84078769 84079361 84079517 84080187]	True	CDS	8440.0
949	ENSMUSG00000073481	Mtarc2	3.4499999999999997e-93	1.6199999999999998e-90	0.089	chr1	[184841428]	[184845546 184846343 184846814 184849393 184857091]	True	CDS	953.0
23920	ENSMUSG00000024544	Ldlrad4	1.62e-92	7.36e-90	0.335	chr18	[68106692 68227369 68228145 68228965]	[68235655]	False	CDS	21084.0
1411	ENSMUSG00000020167	Tcf3	1.33e-91	5.8599999999999994e-89	0.063	chr10	[80410275]	[80410398 80412827]	True	CDS	24250.0
12453	ENSMUSG00000029780	Nt5c3	3.66e-91	1.56e-88	0.21	chr6	[56897830]	[56901510 56901838 56913806 56923672]	True	CDS	903.0
238	ENSMUSG00000038331	Satb2	5.099999999999999e-89	2.11e-86	0.282	chr1	[56969881]	[56971112 56974239]	True	5' UTR	10946.0
20169	ENSMUSG00000066392	Nrxn3	1.01e-83	4.0399999999999997e-81	0.574	chr12	[90169092 90199237]	[90204511]	True	CDS	11717.0
12689	ENSMUSG00000030067	Foxp1	5.9e-83	2.3000000000000002e-80	0.601	chr6	[99016666]	[99027702 99028164 99028674 99044326 99075854]	True	CDS	5502.0
21119	ENSMUSG00000040640	Erc2	4.06e-78	1.5e-75	0.273	chr14	[27777243 27798647 27876203]	[27876587]	True	CDS	2226.0
18211	ENSMUSG00000058589	Anks1b	1.4299999999999999e-74	5.14e-72	0.105	chr10	[90895207 90897427 90914768]	[90921296]	True	CDS	882.0
12350	ENSMUSG00000029924	Slc37a3	1.64e-71	5.74e-69	0.053	chr6	[39372138]	[39372847 39377619]	True	5' UTR	14616.0
14616	ENSMUSG00000058833	Rex1bd	8.33e-71	2.84e-68	0.064	chr8	[70505961]	[70506292 70506497]	True	CDS	1509.0
14172	ENSMUSG00000025468	Caly	5.5e-70	1.83e-67	0.172	chr7	[140074101]	[140081075 140081381 140081393 140081605 140082093 140082200 140082462]	True	5' UTR	777.0
8207	ENSMUSG00000026825	Dnm1	2.12e-69	6.889999999999999e-67	0.149	chr2	[32309065]	[32309893 32310447 32310451 32312123 32312127]	True	CDS	2485.0
6160	ENSMUSG00000022940	Pigp	1.63e-65	5.07e-63	0.229	chr16	[94370193]	[94370366 94370605 94370741 94371744]	True	CDS	1420.0
8337	ENSMUSG00000017412	Cacnb4	3.12e-65	9.46e-63	0.213	chr2	[52477812]	[52556202 52558269 52656675 52675728]	True	CDS	10392.0
20276	ENSMUSG00000021268	Meg3	3.38e-64	9.999999999999999e-62	0.111	chr12	[109549811 109558321 109568524 109568595]	[109571391]	False	Non-coding	3424.0
13569	ENSMUSG00000052040	Klf13	1.31e-63	3.8099999999999994e-61	0.098	chr7	[63891798]	[63901166 63921619 63924670 63936029 63936230 63936439 63937663 63937967]	True	CDS	196.0
19875	ENSMUSG00000020955	Ap4s1	2.1999999999999997e-62	6.269999999999999e-60	0.096	chr12	[51720723 51723049]	[51730888]	False	CDS	14259.0
7958	ENSMUSG00000002107	Celf2	2.1999999999999997e-61	6.12e-59	0.146	chr2	[6721614]	[6721779 6849299 6871867 6872209 6872356 6884367 6884852 6962379]	True	CDS	1598.0
7144	ENSMUSG00000024357	Sil1	1.36e-60	3.72e-58	0.186	chr18	[35348761]	[35403326 35418057]	False	CDS	8102.0
2384	ENSMUSG00000038807	Rap1gap2	1.86e-60	4.97e-58	0.283	chr11	[74484972]	[74522400 74558936 74567216]	False	CDS	709.0
6491	ENSMUSG00000061613	U2af1	3.31e-60	8.680000000000001e-58	0.106	chr17	[31648895]	[31651646 31652502 31654979 31658653]	True	CDS	3267.0
8244	ENSMUSG00000038860	Garnl3	9.689999999999999e-60	2.45e-57	0.189	chr2	[33085945]	[33086357 33086779 33087082 33104849 33104853]	True	CDS	47.0
9830	ENSMUSG00000068739	Sars	6.9500000000000004e-59	1.7300000000000002e-56	0.109	chr3	[108427390]	[108427853 108427856 108427861 108428174]	True	CDS	700.0
25102	ENSMUSG00000027012	Dync1i2	1.5e-58	3.6600000000000003e-56	0.212	chr2	[71219419 71227845]	[71228600]	True	CDS	10705.0
28818	ENSMUSG00000041453	Rpl21	6.0600000000000005e-58	1.45e-55	0.136	chr5	[146833172 146833483 146833567 146833741]	[146834184]	True	5' UTR	2112.0
19438	ENSMUSG00000061086	Myl4	5.38e-57	1.2699999999999999e-54	0.289	chr11	[104550614 104550760 104575542 104577168]	[104577421]	False	5' UTR	46.0
23827	ENSMUSG00000024480	Ap3s1	2.34e-56	5.409999999999999e-54	0.128	chr18	[46780769 46783800 46788705]	[46789897]	True	CDS	4149.0
29438	ENSMUSG00000034023	Fancd2	2.83e-56	6.439999999999999e-54	0.353	chr6	[113585544 113586210 113586249 113587100 113587189]	[113587382]	False	CDS	24.0
20164	ENSMUSG00000066392	Nrxn3	5.76e-56	1.29e-53	0.181	chr12	[88723187 88725070 88725107 88725657 88725731 88725830 88739408]	[88794504]	True	5' UTR	11717.0
18337	ENSMUSG00000034813	Grip1	1.28e-55	2.77e-53	0.699	chr10	[119454423 119692622 119819635]	[119897715]	False	CDS	11162.0
24173	ENSMUSG00000024959	Bad	3.39e-55	7.23e-53	0.151	chr19	[6942441 6942625]	[6942867]	True	CDS	4865.0
20521	ENSMUSG00000054728	Phactr1	8.75e-55	1.8399999999999997e-52	0.105	chr13	[42709851 42866488 42866956 42916868]	[42956617]	True	CDS	2366.0
1745	ENSMUSG00000090841	Myl6	4.66e-53	9.64e-51	0.111	chr10	[128491034]	[128491286 128491290 128491720 128492059]	True	CDS	1883.0
