cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
1417	ENSMUSG00000090841	Myl6	4.96e-46	6.280000000000001e-43	0.284	chr10	[128491034]	[128491290 128491720 128492059]	True	CDS	
16502	ENSMUSG00000025290	Rps24	1.69e-38	1.07e-35	0.311	chr14	[24493494 24495450]	[24495775]	True	CDS	
24475	ENSMUSG00000031596	Slc7a2	1.5600000000000002e-37	6.580000000000001e-35	0.509	chr8	[40908196 40908535]	[40910995]	True	CDS	
21548	ENSMUSG00000057530	Ece1	3.25e-27	1.03e-24	0.373	chr4	[137862382 137905156 137905422]	[137913768]	False	5' UTR	
14052	ENSMUSG00000004207	Psap	5.8599999999999996e-24	1.4800000000000002e-21	0.16	chr10	[60296003 60297546]	[60299098]	True	CDS	
7192	ENSMUSG00000027506	Tpd52	1.3899999999999998e-23	2.92e-21	0.301	chr3	[8935041]	[8936439 8944611]	True	CDS	
17705	ENSMUSG00000055447	Cd47	5.47e-23	9.890000000000002e-21	0.257	chr16	[49906813 49908079 49908736]	[49910869]	True	CDS	
21830	ENSMUSG00000029162	Khk	9.509999999999999e-23	1.5e-20	0.6	chr5	[30924856 30926823 30927157]	[30928443]	True	CDS	
13663	ENSMUSG00000053332	Gas5	2.59e-22	3.64e-20	0.242	chr1	[161036853 161037165]	[161037288]	True	Non-coding	
7009	ENSMUSG00000027620	Rbm39	6.02e-22	7.62e-20	0.192	chr2	[156177386]	[156178880 156179177]	True	CDS	
681	ENSMUSG00000013593	Ndufs2	3.09e-16	3.55e-14	0.111	chr1	[171237270]	[171237350 171237945]	False	CDS	
4499	ENSMUSG00000022523	Fgf12	1.41e-13	1.48e-11	0.32	chr16	[28398389]	[28444993 28752834]	True	CDS	
22319	ENSMUSG00000029462	Vps29	1.4e-12	1.37e-10	0.191	chr5	[122354477 122356806]	[122360013]	True	CDS	
19611	ENSMUSG00000026827	Gpd2	4.01e-12	3.62e-10	0.291	chr2	[57211744 57238568]	[57267973]	False	5' UTR	
6438	ENSMUSG00000026797	Stxbp1	8.26e-12	6.96e-10	0.179	chr2	[32815028]	[32816897 32817286]	True	CDS	
19665	ENSMUSG00000005232	G6pc2	2.72e-11	2.02e-09	0.242	chr2	[69220893 69223044 69225928]	[69226568]	True	CDS	
10659	ENSMUSG00000030516	Tjp1	1.14e-10	7.57e-09	0.356	chr7	[65354889]	[65370810 65513199]	True	CDS	
11316	ENSMUSG00000008892	Vdac3	3.55e-10	2.24e-08	0.21	chr8	[22583737]	[22587550 22587553]	True	CDS	
25338	ENSMUSG00000032294	Pkm	1.06e-09	6.36e-08	0.136	chr9	[59675196 59675735]	[59678044]	True	CDS	
9032	ENSMUSG00000035325	Sec31a	3.44e-09	1.98e-07	0.239	chr5	[100368353]	[100369596 100373380 100373425]	False	CDS	
15702	ENSMUSG00000021000	Mia2	5.58e-09	2.94e-07	0.164	chr12	[59137787 59144771 59146363]	[59146847]	True	CDS	
5024	ENSMUSG00000024012	Mtch1	2.59e-08	1.31e-06	0.133	chr17	[29334006]	[29336167 29336218]	True	CDS	
11442	ENSMUSG00000004319	Clcn3	2.74e-08	1.33e-06	0.211	chr8	[60941415]	[60954543 60975732 60982776]	True	CDS	
1376	ENSMUSG00000040462	Os9	5.14e-08	2.32e-06	0.182	chr10	[127096743]	[127096915 127097932]	True	CDS	
641	ENSMUSG00000026566	Mpzl1	6.22e-08	2.71e-06	0.326	chr1	[165593678]	[165601750 165604610]	True	CDS	
12083	ENSMUSG00000031996	Aplp2	1.29e-07	5.43e-06	0.156	chr9	[31164674]	[31167561 31168708]	True	CDS	
13796	ENSMUSG00000026504	Sdccag8	1.77e-07	7.23e-06	0.289	chr1	[176955924 176998218]	[177011889]	True	CDS	
9695	ENSMUSG00000004980	Hnrnpa2b1	2e-07	7.92e-06	0.068	chr6	[51467296]	[51467391 51469671]	True	CDS	
15660	ENSMUSG00000004151	Etv1	2.75e-07	1.05e-05	0.167	chr12	[38783286 38783803]	[38793171]	True	CDS	
10489	ENSMUSG00000001247	Lsr	3.28e-07	1.22e-05	0.17	chr7	[30959315]	[30962098 30965969]	True	CDS	
1472	ENSMUSG00000059534	Uqcr10	5.72e-07	2.07e-05	0.056	chr11	[4702221]	[4703904 4704101 4704157]	True	CDS	
2136	ENSMUSG00000038615	Nfe2l1	6.38e-07	2.24e-05	0.109	chr11	[96828224]	[96829411 96829819]	True	5' UTR	
1055	ENSMUSG00000019947	Arid5b	7.66e-07	2.55e-05	0.243	chr10	[68135107]	[68136486 68186026]	True	CDS	
15941	ENSMUSG00000017843	Ppp2r5c	9.1e-07	2.88e-05	0.121	chr12	[110466021 110485953]	[110522491]	True	CDS	
10993	ENSMUSG00000030689	Ino80e	1.19e-06	3.57e-05	0.256	chr7	[126852992]	[126857226 126857676]	True	CDS	
16623	ENSMUSG00000021843	Ktn1	1.21e-06	3.57e-05	0.327	chr14	[47704278 47704489]	[47705763]	True	CDS	
1533	ENSMUSG00000020182	Ddc	1.44e-06	4.13e-05	0.066	chr11	[11880651]	[11882252 11890338 11898012]	True	5' UTR	
4716	ENSMUSG00000022892	App	1.55e-06	4.36e-05	0.139	chr16	[84965771]	[84971408 84978064]	True	CDS	
8264	ENSMUSG00000028649	Macf1	2.51e-06	6.82e-05	0.223	chr4	[123554366]	[123613587 123664466]	True	CDS	
12082	ENSMUSG00000031996	Aplp2	3.75e-06	9.88e-05	0.092	chr9	[31153500]	[31156190 31157695]	True	CDS	
9796	ENSMUSG00000030035	Wbp1	3.87e-06	0.0001	0.175	chr6	[83120288]	[83120772 83121203]	True	CDS	
19683	ENSMUSG00000027012	Dync1i2	4.94e-06	0.000123	0.241	chr2	[71228691 71233709]	[71235915]	True	CDS	
25563	ENSMUSG00000048758	Rpl29	6.62e-06	0.000161	0.062	chr9	[106429577 106429640]	[106429970]	True	5' UTR	
24495	ENSMUSG00000031626	Sorbs2	8e-06	0.000191	0.182	chr8	[45769896 45770591]	[45772534]	True	CDS	
25398	ENSMUSG00000032238	Rora	8.83e-06	0.000207	0.256	chr9	[69196105 69290049]	[69348132]	True	CDS	
