cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
17705	ENSMUSG00000055447	Cd47	1.491901089162237e-125	0.86	True	CDS		2.626586424581404e-128	chr16	[49906813 49908079 49908736]	[49910869]
1417	ENSMUSG00000090841	Myl6	4.30619122725466e-99	0.527	True	CDS		1.516264516638965e-101	chr10	[128491034]	[128491290 128491720 128492059]
22319	ENSMUSG00000029462	Vps29	1.5636080704317146e-78	0.85	True	CDS		8.258493329744973e-81	chr5	[122354477 122356806]	[122360013]
16502	ENSMUSG00000025290	Rps24	4.942616210145565e-49	0.514	True	CDS		3.480715640947581e-51	chr14	[24493494 24495450]	[24495775]
15389	ENSMUSG00000020612	Prkar1a	4.1647576233904575e-41	0.491	True	5' UTR		3.66615987974512e-43	chr11	[109649528 109650625 109651074]	[109653779]
7192	ENSMUSG00000027506	Tpd52	8.227718115497255e-41	0.598	True	CDS		8.691251530454846e-43	chr3	[8935041]	[8936439 8944611]
14052	ENSMUSG00000004207	Psap	8.518792285994586e-41	0.196	True	CDS		1.0498511620063749e-42	chr10	[60296003 60297546]	[60299098]
1055	ENSMUSG00000019947	Arid5b	3.2370665130350315e-40	0.786	True	CDS		4.5592486099084966e-42	chr10	[68135107]	[68136486 68186026]
17660	ENSMUSG00000022708	Zbtb20	7.84155516043807e-37	0.579	False	5' UTR		1.2846140711194609e-38	chr16	[43146944 43193539 43232821 43236078 43283006]	[43302569]
9593	ENSMUSG00000053768	Chchd3	7.84155516043807e-37	0.63	True	CDS		1.3805554859926178e-38	chr6	[32892376]	[32893392 32968201]
25338	ENSMUSG00000032294	Pkm	3.3148783278963355e-33	0.459	True	CDS		6.419658733602056e-35	chr9	[59675196 59675735]	[59678044]
11316	ENSMUSG00000008892	Vdac3	2.028455935001575e-29	0.375	True	CDS		4.285470285214595e-31	chr8	[22583737]	[22587550 22587553]
