cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
16502	ENSMUSG00000025290	Rps24	1.2899999999999999e-89	2.89e-87	0.468	chr14	[24493494 24495450]	[24495775]	True	CDS	
533	ENSMUSG00000026395	Ptprc	4.56e-85	5.11e-83	0.888	chr1	[138117026]	[138117754 138120020 138126303]	True	CDS	
24300	ENSMUSG00000018819	Lsp1	7.14e-77	5.330000000000001e-75	0.695	chr7	[142460967 142472365 142475418 142477367]	[142484479]	True	CDS	
18598	ENSMUSG00000024381	Bin1	2.64e-72	1.4800000000000002e-70	0.965	chr18	[32377491 32397712]	[32406100]	False	CDS	
1417	ENSMUSG00000090841	Myl6	8.779999999999999e-40	3.93e-38	0.176	chr10	[128491034]	[128491290 128491720 128492059]	True	CDS	
534	ENSMUSG00000026395	Ptprc	9.32e-35	3.48e-33	0.874	chr1	[138120167]	[138122456 138126303]	True	CDS	
16825	ENSMUSG00000036461	Elf1	8.93e-31	2.86e-29	0.749	chr14	[79481638 79515771]	[79536123]	True	5' UTR	
18714	ENSMUSG00000024610	Cd74	8.65e-30	2.42e-28	0.088	chr18	[60810419 60811486]	[60811859]	True	CDS	
9898	ENSMUSG00000030067	Foxp1	1.81e-26	4.51e-25	0.78	chr6	[99260420]	[99266347 99308344]	True	5' UTR	
10991	ENSMUSG00000030695	Aldoa	4.63e-24	1.04e-22	0.166	chr7	[126797777]	[126797974 126799045 126800002 126800288]	True	CDS	
20401	ENSMUSG00000027763	Mbnl1	7.3e-20	1.49e-18	0.605	chr3	[60473174 60501424]	[60528756]	True	5' UTR	
22882	ENSMUSG00000056737	Capg	1.33e-19	2.48e-18	0.288	chr6	[72544467 72549502 72549869]	[72555273]	True	5' UTR	
19544	ENSMUSG00000026879	Gsn	6.51e-17	1.12e-15	0.538	chr2	[35266904 35282602 35282722]	[35283905]	True	5' UTR	
9895	ENSMUSG00000030067	Foxp1	7.98e-16	1.28e-14	0.486	chr6	[99016666]	[99028164 99075854]	True	CDS	
6211	ENSMUSG00000025781	Atp5c1	4.55e-15	6.79e-14	0.159	chr2	[10056162]	[10056770 10058996]	True	CDS	
10111	ENSMUSG00000030220	Arhgdib	9.82e-15	1.38e-13	0.159	chr6	[136933774]	[136941438 136941651 136941813]	True	5' UTR	
17034	ENSMUSG00000059895	Ptp4a3	3.89e-14	5.13e-13	0.437	chr15	[73724849 73748466]	[73751129]	True	CDS	
10654	ENSMUSG00000052040	Klf13	3.33e-13	4.14e-12	0.22	chr7	[63891798]	[63936230 63937967]	True	CDS	
18602	ENSMUSG00000024381	Bin1	4.71e-13	5.56e-12	0.323	chr18	[32424968 32426353 32431743]	[32431983]	False	CDS	
20140	ENSMUSG00000035268	Pkig	1.17e-12	1.31e-11	0.383	chr2	[163658493 163658660 163659236]	[163703486]	True	5' UTR	
23084	ENSMUSG00000042079	Hnrnpf	3.71e-12	3.96e-11	0.269	chr6	[117906840 117907209 117907880 117907919 117917072]	[117917470]	True	5' UTR	
11641	ENSMUSG00000002885	Adgre5	5.93e-12	6.04e-11	0.41	chr8	[83729526]	[83730111 83733414]	True	CDS	
532	ENSMUSG00000026395	Ptprc	1.05e-11	1.02e-10	0.107	chr1	[138115643]	[138116954 138126303]	True	CDS	
