cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
24300	ENSMUSG00000018819	Lsp1	0.0	0.936	True	CDS		0.0	chr7	[142460967 142472365 142475418 142477367]	[142484479]
16502	ENSMUSG00000025290	Rps24	0.0	0.804	True	CDS		0.0	chr14	[24493494 24495450]	[24495775]
19544	ENSMUSG00000026879	Gsn	7.003009194729627e-250	0.791	True	5' UTR		1.4763898513133435e-252	chr2	[35266904 35282602 35282722]	[35283905]
7426	ENSMUSG00000028041	Adam15	3.514173489009297e-204	0.856	True	CDS		9.878210791312145e-207	chr3	[89340180]	[89340401 89341508]
20401	ENSMUSG00000027763	Mbnl1	1.373091410702487e-202	0.884	True	5' UTR		4.824636017928624e-205	chr3	[60473174 60501424 60528524]	[60528756]
1417	ENSMUSG00000090841	Myl6	5.7269659294249255e-180	0.338	True	CDS		2.4147431887947677e-182	chr10	[128491034]	[128491290 128491720 128492059]
20026	ENSMUSG00000027455	Nsfl1c	1.3159425377256286e-124	0.882	True	CDS		6.473364556626423e-127	chr2	[151500790 151502461]	[151503014]
23795	ENSMUSG00000066406	Akap13	1.417914047167106e-113	0.712	True	CDS		7.971407152028706e-116	chr7	[75697435 75702153]	[75704365]
25010	ENSMUSG00000031851	Ntpcr	2.6750622630373355e-112	0.91	True	CDS		1.691887587304007e-114	chr8	[125733232 125734350]	[125736068]
20402	ENSMUSG00000027763	Mbnl1	7.900961606672844e-103	0.495	True	5' UTR		5.9732000055696754e-105	chr3	[60473174 60501424 60529805]	[60595594]
10820	ENSMUSG00000048779	P2ry6	7.900961606672844e-103	0.899	True	5' UTR		6.1075599208293244e-105	chr7	[100940019]	[100964219 100974515]
6266	ENSMUSG00000058835	Abi1	6.559400890704732e-94	0.685	True	CDS		5.531469479160701e-96	chr2	[22946762]	[22950184 22953435 22957018]
10114	ENSMUSG00000015766	Eps8	4.6376753214992355e-86	0.722	True	5' UTR		4.2368080941314166e-88	chr6	[137539402]	[137570702 137591418]
14873	ENSMUSG00000018217	Pmp22	4.4430847917004615e-72	0.292	False	5' UTR		4.3712710529730475e-74	chr11	[63129151 63131655]	[63133125]
22882	ENSMUSG00000056737	Capg	1.983142992953259e-71	0.462	True	5' UTR		2.0904529089458107e-73	chr6	[72544467 72549502 72549869]	[72555273]
16825	ENSMUSG00000036461	Elf1	2.7534550782793784e-70	0.666	False	5' UTR		3.095943868761073e-72	chr14	[79481638 79515771 79535629]	[79536123]
23937	ENSMUSG00000032812	Arap1	1.7085777828521692e-65	0.893	True	CDS		2.0411681172513618e-67	chr7	[101393630 101394468]	[101394734]
21966	ENSMUSG00000039191	Rbpj	9.976021951121623e-65	0.427	False	5' UTR		1.2619001765297906e-66	chr5	[53466229 53590487 53590725]	[53627383]
15176	ENSMUSG00000038811	Gngt2	7.651916939181747e-64	0.469	True	5' UTR		1.0216895421254616e-65	chr11	[95842427 95842796 95843393]	[95843812]
16786	ENSMUSG00000022106	Rcbtb2	3.5583232309091066e-62	0.611	True	5' UTR		5.0011570357120255e-64	chr14	[73139101 73142594 73143189]	[73151533]
6562	ENSMUSG00000026970	Rbms1	2.2535359868748797e-56	0.472	True	CDS		3.4840331490686816e-58	chr2	[60842473]	[60881118 60962691]
1552	ENSMUSG00000001891	Ugp2	8.017840692070281e-49	0.658	True	CDS		1.352271093532584e-50	chr11	[21354407]	[21370187 21371015]
9677	ENSMUSG00000029810	Tmem176b	1.04105538823208e-46	0.295	True	5' UTR		1.8289799512158808e-48	chr6	[48838366]	[48840361 48840996 48841348]
26096	ENSMUSG00000040990	Sh3kbp1	1.576181680638674e-46	0.615	True	CDS		2.879882199339811e-48	chrX	[159828580 159840612]	[159865325]
659	ENSMUSG00000026670	Uap1	3.34342026504154e-46	0.688	True	CDS		6.343805140978325e-48	chr1	[170143464]	[170147996 170149271]
24209	ENSMUSG00000041836	Ptpre	5.381010124977666e-46	0.741	True	CDS		1.0588073330946918e-47	chr7	[135651847 135652015]	[135652090]
22281	ENSMUSG00000061288	Taok3	1.4274476469643247e-45	0.559	True	5' UTR		2.9090640732231486e-47	chr5	[117120340 117133776]	[117185527]
14186	ENSMUSG00000035697	Arhgap45	1.873880980578469e-43	0.878	True	CDS		3.9505572324212265e-45	chr10	[80018105 80019799]	[80020690]
8396	ENSMUSG00000003644	Rps6ka1	1.7714380716619156e-42	0.793	True	CDS		3.859070992376626e-44	chr4	[133872004]	[133874608 133880917]
15484	ENSMUSG00000059248	Septin9	2.8025703689859973e-42	0.912	True	CDS		6.302336739813909e-44	chr11	[117291037 117332471]	[117351429]
2056	ENSMUSG00000018171	Vmp1	1.3912600081190994e-41	0.365	True	5' UTR		3.2263935536142156e-43	chr11	[86665879]	[86671092 86683740]
14280	ENSMUSG00000020053	Igf1	1.476937747090704e-41	0.191	False	CDS		3.528874448424731e-43	chr10	[87859413 87859640 87861386]	[87864731]
8495	ENSMUSG00000040964	Arhgef10l	2.1332996428957097e-40	0.896	True	CDS		5.2470476107765164e-42	chr4	[140580932]	[140581606 140583824]
