cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
20561	ENSMUSG00000074457	S100a16	0.0	0.828	True	5' UTR	760.0	0.0	chr3	[90537418 90539466 90541191 90541195 90541318]	[90541994]
18591	ENSMUSG00000024395	Lims2	1.2808806513950404e-249	0.754	True	5' UTR	73.0	1.3532811953460545e-252	chr18	[31922477 31931551 31937526]	[31941740]
22982	ENSMUSG00000064080	Fbln2	8.081306684839028e-249	0.887	True	CDS	5536.0	1.2807142131282137e-251	chr6	[91257827 91259771]	[91263339]
13884	ENSMUSG00000038587	Akap12	1.941767963466479e-197	0.732	True	CDS	14207.0	4.103049051170585e-200	chr10	[4313858 4334710]	[4353142]
12082	ENSMUSG00000031996	Aplp2	3.5773218923800625e-121	0.297	True	CDS	688.0	9.44881640882214e-124	chr9	[31153500]	[31156190 31157695]
22095	ENSMUSG00000034842	Art3	6.815220088490729e-121	0.792	True	5' UTR	1591.0	2.1601331500763007e-123	chr5	[92332983 92377051 92386992 92387816]	[92388134]
4904	ENSMUSG00000002504	Slc9a3r2	4.782248146237877e-118	0.243	True	CDS	81.0	1.7683960392850044e-120	chr17	[24642371]	[24644819 24647527]
17034	ENSMUSG00000059895	Ptp4a3	9.794933538086747e-107	0.609	True	CDS	687.0	4.139433085298149e-109	chr15	[73724849 73748466]	[73751129]
622	ENSMUSG00000040181	Fmo1	2.0982995581109984e-103	0.694	True	5' UTR	283.0	9.97606762968779e-106	chr1	[162859563]	[162859801 162866239]
23382	ENSMUSG00000003549	Ercc1	1.5681642895741987e-88	0.498	False	CDS	3926.0	8.284016321047007e-91	chr7	[19348617 19349565]	[19350161]
12083	ENSMUSG00000031996	Aplp2	4.908022356368596e-87	0.331	True	CDS	688.0	2.851993973589781e-89	chr9	[31164674]	[31167561 31168708]
12903	ENSMUSG00000016382	Pls3	4.33827136293151e-75	0.264	True	5' UTR	1733.0	2.7500927815730653e-77	chrX	[75826954]	[75842904 75874338 75875048]
11642	ENSMUSG00000002885	Adgre5	1.081595492740037e-72	0.591	True	CDS	12581.0	7.427755628959578e-75	chr8	[83730258]	[83731903 83733414]
4033	ENSMUSG00000022565	Plec	4.843946889500091e-72	0.61	True	CDS	9831.0	3.754169056656292e-74	chr15	[76194813]	[76195424 76197980 76199549 76205598 76229358]
857	ENSMUSG00000019820	Utrn	4.843946889500091e-72	0.687	True	CDS	666.0	3.838309738114177e-74	chr10	[12765333]	[12813446 12861568]
1003	ENSMUSG00000020099	Unc5b	1.4129846844685847e-68	0.573	True	CDS	11245.0	1.1942818252243718e-70	chr10	[60775161]	[60777185 60777390]
4089	ENSMUSG00000009035	Tmem184b	1.6724280198665711e-65	0.549	True	5' UTR	2744.0	1.5019163411374385e-67	chr15	[79378714]	[79396676 79403185]
11333	ENSMUSG00000065954	Tacc1	7.253728683706078e-64	0.512	True	CDS	14273.0	6.897364833951897e-66	chr8	[25177995]	[25181823 25201122 25240794 25256362]
23436	ENSMUSG00000040940	Arhgef1	1.6613869564865786e-63	0.658	True	CDS	11946.0	1.667530489870311e-65	chr7	[24918001 24919352]	[24919631]
23792	ENSMUSG00000066406	Akap13	2.0758716623777343e-63	0.632	True	CDS	998.0	2.1932083067910554e-65	chr7	[75615049 75643465]	[75663412]
22708	ENSMUSG00000029761	Cald1	6.592929264885527e-63	0.387	True	CDS	5381.0	7.313867647258113e-65	chr6	[34686075 34709698]	[34741789]
25059	ENSMUSG00000058173	Smco4	5.25996355174159e-62	0.361	False	5' UTR	241.0	6.11300571253645e-64	chr9	[15488657 15493074 15493630 15494150]	[15525628]
8130	ENSMUSG00000028559	Osbpl9	7.323915195588727e-60	0.536	True	CDS	8858.0	8.898576307371405e-62	chr4	[109102593]	[109117895 109133744]
13953	ENSMUSG00000019978	Epb41l2	4.2521272479783035e-59	0.892	True	CDS	1288.0	5.390969569544603e-61	chr10	[25489094 25495592 25501632]	[25501824]
11641	ENSMUSG00000002885	Adgre5	7.009755399662271e-59	0.427	True	CDS	12581.0	9.257468832094919e-61	chr8	[83729526]	[83730111 83733414]
21548	ENSMUSG00000057530	Ece1	6.32893963188123e-58	0.619	True	5' UTR	1789.0	8.692679895874906e-60	chr4	[137862382 137905156 137913630]	[137913768]
16518	ENSMUSG00000021895	Arhgef3	6.525013007279869e-58	0.848	True	CDS	3686.0	9.306674653806472e-60	chr14	[27208956 27238154]	[27265523]
19449	ENSMUSG00000039844	Rapgef1	1.9926392381294765e-57	0.795	True	CDS	392.0	2.9473797500066208e-59	chr2	[29620064 29643915]	[29679133]
15003	ENSMUSG00000017774	Myo1c	3.152025817459236e-57	0.676	True	CDS	3037.0	4.828777005088106e-59	chr11	[75650765 75651666 75656202]	[75657492]
15503	ENSMUSG00000017446	C1qtnf1	3.685680304610739e-57	0.657	True	5' UTR	2012.0	5.8410147458173375e-59	chr11	[118428569 118433903]	[118443692]
22227	ENSMUSG00000029344	Tpst2	4.950462912020216e-57	0.453	True	5' UTR	1391.0	8.10693873600775e-59	chr5	[112276772 112288813]	[112303900]
10691	ENSMUSG00000030605	Mfge8	1.222041522340825e-51	0.12	True	CDS	8254.0	2.0657859859961124e-53	chr7	[79143051]	[79143278 79145247]
11609	ENSMUSG00000037148	Arhgap10	2.851187367690228e-51	0.812	False	CDS	15903.0	4.970374175054282e-53	chr8	[77259210]	[77276817 77277148]
15076	ENSMUSG00000018845	Unc45b	3.555046368621721e-51	0.453	True	CDS	80.0	6.3851862933512155e-53	chr11	[82929562 82933653]	[82933832]
14169	ENSMUSG00000035863	Palm	2.0385261783589514e-46	0.309	True	CDS	14928.0	3.87675342952574e-48	chr10	[79793741 79806078]	[79806640]
17324	ENSMUSG00000037003	Tns2	7.542694337928381e-46	0.332	False	5' UTR	14035.0	1.4742720047720552e-47	chr15	[102098639 102100553 102102274 102103162]	[102104530]
6211	ENSMUSG00000025781	Atp5c1	1.0433938579399772e-45	0.236	True	CDS	5353.0	2.0945043107088826e-47	chr2	[10056162]	[10056770 10058996]
2673	ENSMUSG00000021087	Rtn1	2.8155918705900083e-45	0.859	True	CDS	15992.0	5.800743948917609e-47	chr12	[72223540]	[72236529 72303657]
10365	ENSMUSG00000003123	Lipe	1.440322511938051e-44	0.732	True	CDS	489.0	3.04347070668368e-46	chr7	[25388654]	[25390062 25395501]
16825	ENSMUSG00000036461	Elf1	2.726164758932143e-43	0.402	False	5' UTR	12304.0	5.904530117074372e-45	chr14	[79481638 79515771 79535629]	[79536123]
15176	ENSMUSG00000038811	Gngt2	3.038790044445375e-43	0.313	True	5' UTR	199.0	6.742164916360577e-45	chr11	[95842427 95842796 95843393]	[95843812]
16911	ENSMUSG00000022272	Myo10	3.7487872342799485e-42	0.717	True	CDS	62.0	8.515470209933322e-44	chr15	[25744257 25774309]	[25776021]
25020	ENSMUSG00000025810	Nrp1	7.434610628021157e-42	0.173	False	CDS	207.0	1.7280658617693127e-43	chr8	[128480969 128480990]	[128487897]
18692	ENSMUSG00000062210	Tnfaip8	2.60734011060816e-41	0.591	True	CDS	7931.0	6.198114367531283e-43	chr18	[49979627 50031364 50053620]	[50090200]
18189	ENSMUSG00000007039	Ddah2	3.5726759423672253e-41	0.176	True	5' UTR	1511.0	8.681621413042385e-43	chr17	[35059273 35059965]	[35060103]
10748	ENSMUSG00000097162	2310010J17Rik	1.7684580580348277e-40	0.574	False	Non-coding	12755.0	4.390783345358526e-42	chr7	[90125033]	[90126928 90129872 90131066]
6160	ENSMUSG00000025085	Ablim1	2.4389187889263542e-40	0.55	False	CDS	849.0	6.184263173188854e-42	chr19	[57134709]	[57134850 57152273]
9981	ENSMUSG00000030168	Adipor2	3.2997696426069566e-40	0.667	True	5' UTR	2072.0	8.541400554027518e-42	chr6	[119370409]	[119388482 119417420]
8952	ENSMUSG00000029228	Lnx1	7.225321237160806e-40	0.894	True	CDS	335.0	1.9084313885791885e-41	chr5	[74628362]	[74677508 74685396]
23084	ENSMUSG00000042079	Hnrnpf	8.293175329786617e-40	0.223	True	5' UTR	1619.0	2.234294462858518e-41	chr6	[117906840 117907209 117907880 117907919 117917072]	[117917470]
3015	ENSMUSG00000060147	Serpinb6a	2.869864226687117e-37	0.26	True	CDS	884.0	7.883409391850507e-39	chr13	[33931647]	[33935569 33935573 33935619 33935627 33935767 33935922 33996243]
8396	ENSMUSG00000003644	Rps6ka1	1.8127139757252867e-36	0.759	True	CDS	14790.0	5.075216096853683e-38	chr4	[133872004]	[133874608 133880917]
15483	ENSMUSG00000059248	Septin9	2.9222749916125478e-36	0.627	True	CDS	11167.0	8.336125174172086e-38	chr11	[117232720 117266596]	[117290398]
8264	ENSMUSG00000028649	Macf1	6.57267826600498e-36	0.599	True	CDS	13615.0	1.909652956314178e-37	chr4	[123554366]	[123572617 123664466 123683970]
851	ENSMUSG00000015305	Sash1	5.8644529416735456e-33	0.628	False	CDS	1475.0	1.7348619373149422e-34	chr10	[8756762]	[8757414 8762095 8780519]
23791	ENSMUSG00000066406	Akap13	6.273543905758952e-33	0.569	True	CDS	998.0	1.8890227291508736e-34	chr7	[75611549 75612441]	[75614921]
13156	ENSMUSG00000026131	Dst	2.990523594610848e-32	0.733	True	CDS	14683.0	9.162724167323252e-34	chr1	[33968904 34006009]	[34006191]
25404	ENSMUSG00000011958	Bnip2	9.421383964172524e-32	0.339	True	CDS	11415.0	2.93640598989001e-33	chr9	[70003668 70004342]	[70007064]
18057	ENSMUSG00000024011	Pi16	1.0544576189387274e-30	0.336	True	CDS	736.0	3.3421794578089625e-32	chr17	[29326363 29326947 29327634]	[29327838]
3319	ENSMUSG00000034751	Mast4	1.1298406831456956e-30	0.859	True	CDS	12787.0	3.640796707442547e-32	chr13	[102853920]	[102905649 103025522]
24934	ENSMUSG00000031841	Cdh13	1.846622217041216e-30	0.191	True	CDS	137.0	6.048102348470968e-32	chr8	[119242444 119277510]	[119288586]
8920	ENSMUSG00000029207	Apbb2	3.489757538902793e-30	0.533	True	CDS	284.0	1.1614090066079027e-31	chr5	[66313430]	[66323602 66362718]
14873	ENSMUSG00000018217	Pmp22	5.0286726286219476e-30	0.248	False	5' UTR	114.0	1.700132320294795e-31	chr11	[63129151 63131655]	[63133125]
659	ENSMUSG00000026670	Uap1	6.400238229811022e-30	0.455	True	CDS	1246.0	2.197651795761841e-31	chr1	[170143464]	[170147996 170149271]
20140	ENSMUSG00000035268	Pkig	4.9970973101252994e-29	0.352	True	5' UTR	3232.0	1.7422526279359203e-30	chr2	[163658493 163658660 163659236 163694157]	[163703486]
26043	ENSMUSG00000031432	Prps1	7.872685678641129e-29	0.446	False	5' UTR	15549.0	2.7864233516585083e-30	chrX	[140445916 140456864]	[140465231]
20488	ENSMUSG00000028059	Arhgef2	1.1370641991515611e-28	0.571	True	CDS	11427.0	4.084541233085375e-30	chr3	[88616655 88621322]	[88629787]
643	ENSMUSG00000040723	Rcsd1	1.252147861407137e-28	0.45	True	CDS	8931.0	4.5640888767613564e-30	chr1	[165659445]	[165663566 165664949]
2857	ENSMUSG00000021266	Wars	2.103057171005569e-28	0.321	True	5' UTR	4974.0	7.776756575297931e-30	chr12	[108888549]	[108893160 108894069]
15143	ENSMUSG00000020859	Spag9	1.2623185227191928e-27	0.35	True	CDS	11783.0	4.7345280038596235e-29	chr11	[94043667 94044526]	[94048408]
4267	ENSMUSG00000097915	A330009N23Rik	1.8087103742371474e-27	0.807	True	Non-coding	8965.0	6.879405543849689e-29	chr15	[101223634]	[101224612 101224974]
12498	ENSMUSG00000032475	Nck1	2.96724519289195e-27	0.355	True	CDS	4261.0	1.144262541368792e-28	chr9	[100497971]	[100506726 100508429]
5973	ENSMUSG00000024812	Tjp2	6.491775453182352e-27	0.827	True	CDS	2882.0	2.537725216774929e-28	chr19	[24138833]	[24173955 24193709]
9895	ENSMUSG00000030067	Foxp1	6.689569070217471e-27	0.403	True	CDS	15515.0	2.65038394224147e-28	chr6	[99016666]	[99028164 99075854]
3229	ENSMUSG00000021585	Cast	1.5942590796581107e-26	0.335	True	CDS	3937.0	6.400617541152478e-28	chr13	[74748244]	[74748805 74754311]
8694	ENSMUSG00000002944	Cd36	2.1527252084182495e-26	0.146	True	5' UTR	28.0	8.756462812900433e-28	chr5	[17835672]	[17849657 17888711]
2588	ENSMUSG00000047446	Arl4a	2.4029318864640644e-26	0.356	True	5' UTR	10805.0	9.901145649455734e-28	chr12	[40036834]	[40037263 40037838]
17664	ENSMUSG00000022708	Zbtb20	3.407544496574404e-26	0.24	True	5' UTR	664.0	1.4220603023210668e-27	chr16	[43462987 43503754 43508323 43561874]	[43569681]
18571	ENSMUSG00000024277	Mapre2	6.640386201678513e-26	0.352	True	CDS	4168.0	2.8062910519507717e-27	chr18	[23772660 23804222]	[23832853]
1417	ENSMUSG00000090841	Myl6	9.538532748049776e-26	0.125	True	CDS	909.0	4.081464091875499e-27	chr10	[128491034]	[128491290 128491720 128492059]
25665	ENSMUSG00000033392	Clasp2	2.3166557704219005e-25	0.337	True	CDS	1532.0	1.0035170268071623e-26	chr9	[113786635 113793467]	[113813142]
3721	ENSMUSG00000022091	Sorbs3	2.3910328402049035e-25	0.082	False	CDS	2818.0	1.0483662215372794e-26	chr14	[70191063]	[70191148 70191433]
