	chromosome	start	end	cluster	left_exon_count	left_genes	right_exon_count	right_genes	genes	n_genes	genes_cluster	n_genes_cluster	annotated	gene_id	original_cluster	n_start	strand	cluster_type	psi_a	psi_b	delta_psi	lfc_psi	abs_delta_psi	abs_lfc_psi
0	chr10	128491034	128491720	1417	11	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.4493813109087107	0.030086504122321306	0.4192948067863894	3.9007516928055965	0.4192948067863894	3.9007516928055965
1	chr10	128491034	128492059	1417	11	['ENSMUSG00000090841']	14	['ENSMUSG00000090841']	['ENSMUSG00000090841']	1	['ENSMUSG00000090841']	1	True	ENSMUSG00000090841	1417	1	-	shared_acceptor	0.5506186890912893	0.9699134958776787	-0.4192948067863894	-0.8168025028986093	0.4192948067863894	0.8168025028986093
2	chr16	84965771	84971408	4716	11	['ENSMUSG00000022892']	7	['ENSMUSG00000022892']	['ENSMUSG00000022892']	1	['ENSMUSG00000022892']	1	True	ENSMUSG00000022892	4716	1	-	shared_acceptor	0.3505297693197255	0.5909614044862094	-0.24043163516648386	-0.7535269371218207	0.24043163516648386	0.7535269371218207
3	chr16	84965771	84978064	4716	11	['ENSMUSG00000022892']	10	['ENSMUSG00000022892']	['ENSMUSG00000022892']	1	['ENSMUSG00000022892']	1	True	ENSMUSG00000022892	4716	1	-	shared_acceptor	0.6494702306802745	0.4090385955137907	0.24043163516648386	0.6670264205953258	0.24043163516648386	0.6670264205953258
4	chr16	85030366	85040251	4721	13	['ENSMUSG00000022892']	7	['ENSMUSG00000022892']	['ENSMUSG00000022892']	1	['ENSMUSG00000022892']	1	True	ENSMUSG00000022892	4721	1	-	shared_acceptor	0.4811089069135135	0.08512531215621981	0.39598359475729367	2.4987034061256503	0.39598359475729367	2.4987034061256503
5	chr16	85030366	85043576	4721	13	['ENSMUSG00000022892']	11	['ENSMUSG00000022892']	['ENSMUSG00000022892']	1	['ENSMUSG00000022892']	1	True	ENSMUSG00000022892	4721	1	-	shared_acceptor	0.5188910930864864	0.9148746878437802	-0.39598359475729383	-0.8181423751765724	0.39598359475729383	0.8181423751765724
6	chr17	33823117	33823193	5088	3	['ENSMUSG00000067288']	4	['ENSMUSG00000067288']	['ENSMUSG00000067288']	1	['ENSMUSG00000067288']	1	True	ENSMUSG00000067288	5088	1	-	shared_acceptor	0.6637208283764794	0.7331383256894751	-0.06941749731299574	-0.1435088774407482	0.06941749731299574	0.1435088774407482
7	chr17	33823117	33823197	5088	3	['ENSMUSG00000067288']	1	['ENSMUSG00000067288']	['ENSMUSG00000067288']	1	['ENSMUSG00000067288']	1	True	ENSMUSG00000067288	5088	1	-	shared_acceptor	0.3362791716235206	0.26686167431052493	0.06941749731299568	0.3335672974100845	0.06941749731299568	0.3335672974100845
8	chr11	114668610	114668781	15405	2	['ENSMUSG00000057322']	3	['ENSMUSG00000057322']	['ENSMUSG00000057322']	1	['ENSMUSG00000057322']	1	True	ENSMUSG00000057322	15405	3	+	shared_acceptor	0.6651788504744844	0.7218380788543288	-0.056659228379844384	-0.1179329525145788	0.056659228379844384	0.1179329525145788
9	chr11	114668627	114668781	15405	2	['ENSMUSG00000057322']	3	['ENSMUSG00000057322']	['ENSMUSG00000057322']	1	['ENSMUSG00000057322']	1	True	ENSMUSG00000057322	15405	3	+	shared_acceptor	0.33482114952551556	0.27816192114567106	0.056659228379844495	0.2674657237892062	0.056659228379844495	0.2674657237892062
10	chr14	24493494	24495775	16502	12	['ENSMUSG00000025290']	5	['ENSMUSG00000025290']	['ENSMUSG00000025290']	1	['ENSMUSG00000025290']	1	True	ENSMUSG00000025290	16502	2	+	shared_acceptor	0.219160588256482	0.9626681795029414	-0.7435075912464594	-2.135050217359823	0.7435075912464594	2.135050217359823
11	chr14	24495450	24495775	16502	3	['ENSMUSG00000025290']	5	['ENSMUSG00000025290']	['ENSMUSG00000025290']	1	['ENSMUSG00000025290']	1	True	ENSMUSG00000025290	16502	2	+	shared_acceptor	0.780839411743518	0.03733182049705869	0.7435075912464593	4.386548066981788	0.7435075912464593	4.386548066981788
