cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
20561	ENSMUSG00000074457	S100a16	2.67e-82	4.7300000000000004e-80	0.944	chr3	[90537418 90541318]	[90541994]	True	5' UTR	
17705	ENSMUSG00000055447	Cd47	2.9700000000000005e-73	2.62e-71	0.449	chr16	[49906813 49908079]	[49910869]	True	CDS	
16502	ENSMUSG00000025290	Rps24	1.1400000000000001e-56	6.749999999999999e-55	0.532	chr14	[24493494 24495450]	[24495775]	True	CDS	
760	ENSMUSG00000010609	Psen2	3.08e-49	1.36e-47	0.312	chr1	[180229488]	[180229842 180229970]	True	CDS	
16888	ENSMUSG00000054263	Lifr	7.26e-46	2.57e-44	0.648	chr15	[7129827 7140584]	[7154387]	True	5' UTR	
23481	ENSMUSG00000040466	Blvrb	3.37e-29	8.53e-28	0.226	chr7	[27448197 27452551]	[27459256]	True	CDS	
13569	ENSMUSG00000026457	Adipor1	1.88e-26	4.16e-25	0.499	chr1	[134415586 134415990]	[134422921]	True	5' UTR	
1417	ENSMUSG00000090841	Myl6	1.44e-25	2.8299999999999997e-24	0.196	chr10	[128491034]	[128491720 128492059]	True	CDS	
5224	ENSMUSG00000023942	Slc29a1	2.51e-25	4.4299999999999996e-24	0.139	chr17	[45590339]	[45592179 45599473]	True	CDS	
23426	ENSMUSG00000040952	Rps19	1.8899999999999998e-24	3.0499999999999997e-23	0.098	chr7	[24884668 24884855 24884870]	[24885136]	True	5' UTR	
1998	ENSMUSG00000001123	Lgals9	7.33e-24	1.08e-22	0.086	chr11	[78968034]	[78969714 78971317]	True	CDS	
25586	ENSMUSG00000010047	Hyal2	8.1e-24	1.1e-22	0.603	chr9	[107567977 107569234]	[107570104]	True	5' UTR	
25358	ENSMUSG00000032249	Anp32a	2.74e-23	3.47e-22	0.239	chr9	[62341555 62345511]	[62371720]	False	CDS	
14052	ENSMUSG00000004207	Psap	1.85e-22	2.19e-21	0.084	chr10	[60296003 60297546]	[60299098]	True	CDS	
23521	ENSMUSG00000030588	Yif1b	3.57e-21	3.95e-20	0.601	chr7	[29238437 29238446 29238612]	[29244070]	True	CDS	
4713	ENSMUSG00000022890	Atp5j	2.61e-20	2.72e-19	0.093	chr16	[84831508]	[84833820 84833994 84834809]	True	5' UTR	
24288	ENSMUSG00000025511	Tspan4	3.93e-20	3.66e-19	0.627	chr7	[141475498 141476479]	[141482487]	True	5' UTR	
9695	ENSMUSG00000004980	Hnrnpa2b1	5.54e-20	4.9e-19	0.162	chr6	[51467296]	[51467391 51469671]	True	CDS	
20797	ENSMUSG00000078578	Ube2d3	8.27e-19	6.97e-18	0.36	chr3	[135438353 135438699 135438865]	[135439644]	True	5' UTR	
21603	ENSMUSG00000066026	Dhrs3	1.18e-18	9.47e-18	0.068	chr4	[144893376 144893710]	[144918651]	True	5' UTR	
8576	ENSMUSG00000028964	Park7	1.31e-17	1.01e-16	0.197	chr4	[150908424]	[150909192 150909391 150909783 150914320]	True	5' UTR	
25563	ENSMUSG00000048758	Rpl29	1.55e-17	1.15e-16	0.242	chr9	[106429577 106429640]	[106429970]	True	5' UTR	
9434	ENSMUSG00000001847	Rac1	1.95e-17	1.38e-16	0.069	chr5	[143508159]	[143509597 143514669]	True	CDS	
23084	ENSMUSG00000042079	Hnrnpf	1.01e-16	6.85e-16	0.51	chr6	[117906840 117907209 117917072]	[117917470]	True	5' UTR	
17591	ENSMUSG00000060636	Rpl35a	1.75e-16	1.1e-15	0.26	chr16	[33056511 33056556 33056618 33056906]	[33057136]	True	5' UTR	
783	ENSMUSG00000073481	Mtarc2	2.88e-16	1.75e-15	0.057	chr1	[184822551]	[184827108 184827188 184832576]	True	CDS	
2905	ENSMUSG00000021290	Atp5mpl	2.98e-16	1.76e-15	0.081	chr12	[111963354]	[111966594 111966924]	True	5' UTR	
20688	ENSMUSG00000027900	Dram2	9.47e-15	5.31e-14	0.219	chr3	[106566185 106571694]	[106572973]	True	CDS	
9677	ENSMUSG00000029810	Tmem176b	9.6e-15	5.31e-14	0.362	chr6	[48838366]	[48840361 48840996 48841348]	True	5' UTR	
15896	ENSMUSG00000064215	Ifi27	1.13e-14	6.03e-14	0.353	chr12	[103436683 103437525]	[103437676]	True	CDS	
19815	ENSMUSG00000032679	Cd59a	2.02e-14	1.05e-13	0.144	chr2	[104095928 104097845]	[104104171]	True	5' UTR	
3393	ENSMUSG00000012405	Rpl15	4.8e-14	2.36e-13	0.266	chr14	[18270461]	[18270823 18270845 18270959 18271219]	True	5' UTR	
9849	ENSMUSG00000030057	Cnbp	3.13e-13	1.46e-12	0.183	chr6	[87845558]	[87845656 87845674 87845677]	True	CDS	
