cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
24300	ENSMUSG00000018819	Lsp1	4.172055123403026e-147	0.794	True	CDS		6.340509306083625e-150	chr7	[142460967 142472365 142475418 142477367]	[142484479]
16502	ENSMUSG00000025290	Rps24	3.4219335745098824e-140	0.503	True	CDS		1.0401013904285356e-142	chr14	[24493494 24495450]	[24495775]
7426	ENSMUSG00000028041	Adam15	1.687492562499539e-124	0.907	True	CDS		7.693735087383918e-127	chr3	[89340180]	[89340401 89341508]
19544	ENSMUSG00000026879	Gsn	1.7790778810081968e-94	0.73	True	5' UTR		1.0815063106432805e-96	chr2	[35266904 35282602 35282722]	[35283905]
1417	ENSMUSG00000090841	Myl6	3.2607242245259007e-91	0.195	True	CDS		2.4777539700044833e-93	chr10	[128491034]	[128491290 128491720 128492059]
533	ENSMUSG00000026395	Ptprc	5.23731822156128e-80	0.875	True	CDS		4.7756701108461514e-82	chr1	[138117026]	[138117754 138120020 138126303]
20401	ENSMUSG00000027763	Mbnl1	1.6577280906441524e-65	0.76	True	5' UTR		1.7635405219618647e-67	chr3	[60473174 60501424]	[60528756]
15176	ENSMUSG00000038811	Gngt2	5.566348470307685e-58	0.514	True	5' UTR		6.767596924386244e-60	chr11	[95842427 95842796 95843393]	[95843812]
20026	ENSMUSG00000027455	Nsfl1c	1.3026356268027064e-46	0.771	True	CDS		1.7817204621921513e-48	chr2	[151500790 151502461]	[151503014]
10114	ENSMUSG00000015766	Eps8	8.468785028579171e-45	0.817	True	5' UTR		1.2870493964406037e-46	chr6	[137539402]	[137570702 137591418]
659	ENSMUSG00000026670	Uap1	1.8101409862174364e-43	0.602	True	CDS		3.026071557506353e-45	chr1	[170143464]	[170147996 170149271]
21966	ENSMUSG00000039191	Rbpj	3.244746475952737e-33	0.477	False	5' UTR		5.917470776813502e-35	chr5	[53466229 53590487 53590725]	[53627383]
534	ENSMUSG00000026395	Ptprc	6.686344751095062e-32	0.866	True	CDS		1.3210103611585991e-33	chr1	[138120167]	[138122456 138126303]
14880	ENSMUSG00000033066	Gas7	7.300177158313012e-32	0.639	False	CDS		1.5555381584884933e-33	chr11	[67455775 67571351 67586816]	[67603108]
21696	ENSMUSG00000029063	Nadk	7.300177158313012e-32	0.477	True	5' UTR		1.664174124235489e-33	chr4	[155562456 155563980]	[155576993]
23795	ENSMUSG00000066406	Akap13	1.238819455186241e-31	0.593	True	CDS		3.012326942702107e-33	chr7	[75697435 75702153]	[75704365]
9677	ENSMUSG00000029810	Tmem176b	5.752819962350899e-31	0.375	True	5' UTR		1.486290871731995e-32	chr6	[48838366]	[48840361 48840996 48841348]
10991	ENSMUSG00000030695	Aldoa	4.9680007726421664e-30	0.159	True	CDS		1.3590275669841794e-31	chr7	[126797777]	[126797974 126799045 126800002 126800288]
22882	ENSMUSG00000056737	Capg	2.9295174379990025e-29	0.249	True	5' UTR		8.62645231086699e-31	chr6	[72544467 72549502 72549869]	[72555273]
8693	ENSMUSG00000002944	Cd36	2.9295174379990025e-29	0.256	True	5' UTR		8.904308322185418e-31	chr5	[17829550]	[17835618 17849657]
6266	ENSMUSG00000058835	Abi1	4.0318445488925886e-29	0.51	True	CDS		1.286758898582741e-30	chr2	[22946762]	[22950184 22953435 22957018]
6562	ENSMUSG00000026970	Rbms1	4.732644691354817e-27	0.355	True	CDS		1.5823432098754706e-28	chr2	[60842473]	[60881118 60962691]
18714	ENSMUSG00000024610	Cd74	1.1828437055004529e-26	0.085	True	CDS		4.134560064819213e-28	chr18	[60810419 60811486]	[60811859]
17037	ENSMUSG00000022587	Ly6e	3.725778506870211e-25	0.069	False	5' UTR		1.4155693415160374e-26	chr15	[74955718 74957303]	[74957777]
7427	ENSMUSG00000028041	Adam15	1.6158461926662164e-24	0.518	True	CDS		6.384802585003287e-26	chr3	[89340473]	[89340863 89341114 89341508]
1552	ENSMUSG00000001891	Ugp2	2.8119960705607715e-23	0.58	True	CDS		1.1538585699869429e-24	chr11	[21354407]	[21370187 21371015]
667	ENSMUSG00000026656	Fcgr2b	1.443177920270271e-22	0.662	True	CDS		6.141182639447959e-24	chr1	[170961234]	[170963325 170965702]
9676	ENSMUSG00000029810	Tmem176b	5.195506221996663e-22	0.383	False	5' UTR		2.289812772612512e-23	chr6	[48838363]	[48840361 48840996 48841348]
14873	ENSMUSG00000018217	Pmp22	1.4002920319630319e-21	0.269	False	5' UTR		6.384310176123246e-23	chr11	[63129151 63131655]	[63133125]
16825	ENSMUSG00000036461	Elf1	8.393247112219701e-21	0.526	True	5' UTR		3.9542653568208317e-22	chr14	[79481638 79515771]	[79536123]
20542	ENSMUSG00000027940	Tpm3	3.409071333198626e-20	0.152	True	CDS		1.6579070313427972e-21	chr3	[90090080 90091092]	[90099528]
26096	ENSMUSG00000040990	Sh3kbp1	3.143210184256065e-19	0.537	True	CDS		1.576382007301674e-20	chrX	[159828580 159840612]	[159865325]
22281	ENSMUSG00000061288	Taok3	1.195039431880778e-18	0.49	True	5' UTR		6.174975787833809e-20	chr5	[117120340 117133776]	[117185527]
4721	ENSMUSG00000022892	App	2.4814526873850865e-17	0.334	True	CDS		1.3199216422261095e-18	chr16	[85030366]	[85040251 85043576 85056324]
20160	ENSMUSG00000017760	Ctsa	4.953886391145578e-17	0.108	True	5' UTR		2.7103329799580668e-18	chr2	[164833197 164833851]	[164834030]
20506	ENSMUSG00000042747	Krtcap2	1.3192212363599027e-16	0.115	False	CDS		7.618602884753237e-18	chr3	[89246516 89246594]	[89246778]
18602	ENSMUSG00000024381	Bin1	1.1252341309636948e-15	0.398	False	CDS		6.66932083701886e-17	chr18	[32424968 32426353 32431743]	[32431983]
25404	ENSMUSG00000011958	Bnip2	5.5106307867753074e-14	0.393	True	CDS		3.352176870710187e-15	chr9	[70003668 70004342]	[70007064]
5593	ENSMUSG00000024456	Diaph1	5.5106307867753074e-14	0.53	True	CDS		3.433675718203459e-15	chr18	[37905160]	[37906388 37935202]
11636	ENSMUSG00000031708	Tecr	8.877929331112088e-14	0.143	True	CDS		5.6667634028375035e-15	chr8	[83573324]	[83573411 83573871]
15700	ENSMUSG00000021000	Mia2	1.0339003804174631e-13	0.295	True	CDS		6.7564918477129044e-15	chr12	[59129897 59131605]	[59136064]
14343	ENSMUSG00000019907	Ppp1r12a	1.5863092280758803e-13	0.476	True	CDS		1.0607538911145704e-14	chr10	[108252925 108253496]	[108259756]
13434	ENSMUSG00000026305	Lrrfip1	2.9924441804760135e-13	0.413	True	CDS		2.0465043787449942e-14	chr1	[90998894 91053724]	[91068563]
24288	ENSMUSG00000025511	Tspan4	4.4575482377812706e-13	0.429	True	5' UTR		3.116219132795417e-14	chr7	[141475498 141476479]	[141482487]
19215	ENSMUSG00000025026	Add3	8.434421737875095e-13	0.343	True	CDS		6.024586955625067e-14	chr19	[53242628 53244406]	[53244998]
