cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
18904	ENSMUSG00000033066	Gas7	0.0	0.0	0.3	chr11	[67455775 67571351 67596700]	[67603108]	False	CDS	1212.0
22274	ENSMUSG00000008658	Rbfox1	0.0	0.0	0.389	chr16	[6809249 7039201 7040026 7193878 7217830]	[7224311]	True	CDS	1751.0
23279	ENSMUSG00000039601	Rcan2	0.0	0.0	0.788	chr17	[43836498 43953538]	[44017767]	True	CDS	2139.0
5389	ENSMUSG00000018865	Sult4a1	0.0	0.0	0.13	chr15	[84077583]	[84078769 84079361 84079517 84080187]	False	CDS	1188.0
17260	ENSMUSG00000056211	R3hdm1	0.0	0.0	0.414	chr1	[128103484 128141947 128142093]	[128151744]	True	5' UTR	101.0
12078	ENSMUSG00000025855	Prkar1b	0.0	0.0	0.261	chr5	[139127786]	"[139129644 139129968 139130294 139130393 139130446 139130507 139149919
 139150535]"	True	5' UTR	1324.0
14172	ENSMUSG00000025468	Caly	0.0	0.0	0.288	chr7	[140074101]	[140081075 140081381 140081393 140081605 140082093 140082200 140082462]	True	5' UTR	1320.0
3888	ENSMUSG00000057531	Dtnbp1	0.0	0.0	0.349	chr13	[44931152]	[44946172 44946865 44946869 44948505 44953172 44970046]	False	CDS	141.0
32259	ENSMUSG00000032336	Nptn	4.72e-303	7.68e-300	0.309	chr9	[58582527 58582707 58619011 58621578]	[58623687]	True	CDS	15708.0
14021	ENSMUSG00000030695	Aldoa	2.88e-293	4.21e-290	0.096	chr7	[126797777]	[126797974 126798196 126798676 126798823 126799045 126800002 126800288]	True	CDS	4998.0
7958	ENSMUSG00000002107	Celf2	1.2e-271	1.6e-268	0.341	chr2	[6721614]	[6721779 6849299 6871867 6872209 6872356 6884367 6884852 6962379]	True	CDS	1894.0
23453	ENSMUSG00000003279	Dlgap1	3.23e-261	3.94e-258	0.113	chr17	[70516997 70521801 70522263 70522269 70522349 70561872 70583182]	[70593167]	True	CDS	561.0
8337	ENSMUSG00000017412	Cacnb4	3.52e-260	3.96e-257	0.27	chr2	[52477812]	[52556202 52558269 52656675 52675728]	True	CDS	579.0
16027	ENSMUSG00000032503	Arpp21	8.82e-258	9.219999999999999e-255	0.238	chr9	[112187767]	"[112187854 112187861 112187903 112188021 112188124 112206245 112219803
 112228864 112230916 112232335 112233092 112233646 112234310 112235646
 112235650]"	True	5' UTR	116.0
4601	ENSMUSG00000015759	Cnih1	8.76e-253	8.549999999999999e-250	0.215	chr14	[46780226]	[46783826 46784112]	True	CDS	4150.0
16321	ENSMUSG00000031137	Fgf13	2.31e-239	2.11e-236	0.404	chrX	[59131951]	[59133621 59133877 59135170 59250799 59567140]	False	CDS	8946.0
21717	ENSMUSG00000022307	Oxr1	5.660000000000001e-235	4.87e-232	0.28	chr15	[41826053 41831078 41831130 41848751 41849507]	[41850459]	True	CDS	857.0
21004	ENSMUSG00000056296	Synpr	1.13e-227	9.2e-225	0.771	chr14	[13285207 13329722 13425867 13454353]	[13493508]	True	CDS	3982.0
8526	ENSMUSG00000027016	Zfp385b	1.3500000000000002e-212	1.0400000000000001e-209	0.501	chr2	[77503683]	[77519428 77703056 77719451]	True	CDS	6293.0
30392	ENSMUSG00000052572	Dlg2	1.2000000000000002e-210	8.790000000000001e-208	0.254	chr7	[91449916 91543192 91672955 91711799]	[91733091]	True	CDS	15545.0
28292	ENSMUSG00000033805	Ephx4	5.5e-196	3.66e-193	0.097	chr5	[107402644 107402837 107403112 107403776 107403953 107405874]	[107406032]	True	5' UTR	1565.0
