cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
20561	ENSMUSG00000074457	S100a16	1.250678994008538e-127	0.888	True	5' UTR		2.683860502164245e-130	chr3	[90537418 90541318]	[90541994]
18591	ENSMUSG00000024395	Lims2	2.2719664027827226e-52	0.511	True	5' UTR		9.750928767307821e-55	chr18	[31922477 31931551]	[31941740]
22708	ENSMUSG00000029761	Cald1	7.246079256814692e-50	0.792	True	CDS		4.6648578906532355e-52	chr6	[34686075 34709698]	[34741789]
8693	ENSMUSG00000002944	Cd36	9.854717556940583e-33	0.269	True	5' UTR		8.458985027416808e-35	chr5	[17829550]	[17835618 17849657]
13884	ENSMUSG00000038587	Akap12	1.2223202735775539e-32	0.651	True	CDS		1.3115024394608949e-34	chr10	[4313858 4334710]	[4353142]
4904	ENSMUSG00000002504	Slc9a3r2	3.7765083243283313e-32	0.258	True	CDS		4.862457069950641e-34	chr17	[24642371]	[24644819 24647527]
857	ENSMUSG00000019820	Utrn	3.846340570452119e-29	0.737	True	CDS		5.777764805400178e-31	chr10	[12765333]	[12813446 12861568]
622	ENSMUSG00000040181	Fmo1	2.1993089542987077e-27	0.845	True	5' UTR		3.775637689783189e-29	chr1	[162859563]	[162859801 162866239]
10691	ENSMUSG00000030605	Mfge8	8.316520631010846e-24	0.173	True	CDS		1.6061949716544556e-25	chr7	[79143051]	[79143278 79145247]
24288	ENSMUSG00000025511	Tspan4	1.4837637403063326e-22	0.466	True	5' UTR		3.184042361172388e-24	chr7	[141475498 141476479]	[141482487]
12083	ENSMUSG00000031996	Aplp2	2.7280097486842647e-16	0.308	True	CDS		6.439507990456419e-18	chr9	[31164674]	[31167561 31168708]
17324	ENSMUSG00000037003	Tns2	4.0046269584910943e-16	0.502	False	5' UTR		1.0312344099118697e-17	chr15	[102098639 102100553 102103162]	[102104530]
16502	ENSMUSG00000025290	Rps24	6.836976394121535e-16	0.25	True	CDS		1.9073110112356213e-17	chr14	[24493494 24495450]	[24495775]
18766	ENSMUSG00000053477	Tcf4	1.3589223965591488e-15	0.339	True	CDS		4.0825994746412196e-17	chr18	[69564685 69593585]	[69633577]
18189	ENSMUSG00000007039	Ddah2	3.71312698304424e-15	0.31	True	5' UTR		1.1952125481902058e-16	chr17	[35059273 35059965]	[35060103]
9677	ENSMUSG00000029810	Tmem176b	2.9219506612903595e-14	0.327	True	5' UTR		1.003244862245617e-15	chr6	[48838366]	[48840361 48840996 48841348]
9676	ENSMUSG00000029810	Tmem176b	8.251071276858812e-14	0.366	False	5' UTR		3.010047461515017e-15	chr6	[48838363]	[48840361 48840996 48841348]
25059	ENSMUSG00000058173	Smco4	1.1845306186958062e-13	0.303	False	5' UTR		4.575440158052471e-15	chr9	[15493630 15494150]	[15525628]
17702	ENSMUSG00000055447	Cd47	1.45895215759793e-13	0.161	True	CDS		5.9485173807640926e-15	chr16	[49868113 49869081]	[49884165]
13941	ENSMUSG00000019970	Sgk1	8.802067502303229e-13	0.137	True	CDS		3.777711374379068e-14	chr10	[21994182 21994826]	[21994966]
17034	ENSMUSG00000059895	Ptp4a3	5.116996819361982e-12	0.423	True	CDS		2.3059427726738544e-13	chr15	[73724849 73748466]	[73751129]
10369	ENSMUSG00000074272	Ceacam1	7.2685286816570235e-12	0.563	True	CDS		3.4314942273917284e-13	chr7	[25472074]	[25473798 25476344]
11162	ENSMUSG00000038650	Rnh1	1.2209697965230845e-11	0.425	True	CDS		6.026245776830675e-13	chr7	[141166788]	[141168574 141168676 141172742]
6514	ENSMUSG00000026946	Nmi	5.4807211056783385e-11	0.433	True	5' UTR		2.8226889814652386e-12	chr2	[51960661]	[51972588 51972909]
1417	ENSMUSG00000090841	Myl6	7.099537863129457e-11	0.116	True	CDS		3.8087649480308235e-12	chr10	[128491034]	[128491290 128491720 128492059]
25604	ENSMUSG00000007815	Rhoa	6.262906226462442e-10	0.06	True	5' UTR		3.4943253624039376e-11	chr9	[108306554 108307077]	[108315308]
2804	ENSMUSG00000021186	Fbln5	1.1645616908520413e-08	0.221	True	CDS		6.747460440559037e-10	chr12	[101814597]	[101818233 101818734]
3139	ENSMUSG00000015937	Macroh2a1	1.5753844966471862e-08	0.36	True	CDS		9.465829593588246e-10	chr13	[56084286]	[56088252 56089758]
3015	ENSMUSG00000060147	Serpinb6a	1.779231440870049e-08	0.174	True	CDS		1.1072470340178417e-09	chr13	[33931647]	[33935569 33935573 33935619 33935627 33935922]
17507	ENSMUSG00000022841	Ap2m1	6.293786423734843e-08	0.229	True	CDS		4.051793835022431e-09	chr16	[20540416 20540814]	[20540975]
25404	ENSMUSG00000011958	Bnip2	1.5368344102415296e-07	0.306	True	CDS		1.0223576548817042e-08	chr9	[70003668 70004342]	[70007064]
25020	ENSMUSG00000025810	Nrp1	1.5600196490738926e-07	0.185	False	CDS		1.0712581281194109e-08	chr8	[128480969 128480990]	[128487897]
3106	ENSMUSG00000025871	4833439L19Rik	3.619758421410287e-07	0.294	True	CDS		2.5633482383377568e-08	chr13	[54561872]	[54564185 54565182]
12082	ENSMUSG00000031996	Aplp2	3.9449960919927065e-07	0.168	True	CDS		2.8783233289217168e-08	chr9	[31153500]	[31156190 31157695]
24662	ENSMUSG00000055148	Klf2	4.5589956989468535e-07	0.103	False	CDS		3.4241384004965643e-08	chr8	[72319150 72320243]	[72320744]
1873	ENSMUSG00000078812	Eif5a	4.645940313934616e-07	0.053	True	5' UTR		3.5891384399494894e-08	chr11	[69919337]	[69920341 69920801 69921163]
23062	ENSMUSG00000000440	Pparg	6.155588767967503e-07	0.327	True	5' UTR		4.8874846440943697e-08	chr6	[115361371 115362418]	[115383679]
3530	ENSMUSG00000041028	Ghitm	1.654205486824329e-06	0.096	True	5' UTR		1.362624063350767e-07	chr14	[37133804]	[37134965 37135195]
