cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
164	ENSMUSG00000030220	Arhgdib	7.448251942010723e-35	3.1804035792385784e-32	0.076	True	5' UTR	404.0	['chr6:136933774-136941438' 'chr6:136933774-136941651' 'chr6:136933774-136941813']
425	ENSMUSG00000040990	Sh3kbp1	2.890243377832217e-34	6.170669611671782e-32	0.384	True	CDS	2887.0	['chrX:159683702-159764012' 'chrX:159697475-159764012' 'chrX:159708744-159764012']
184	ENSMUSG00000030844	Rgs10	4.637136332016416e-33	6.600190712570031e-31	0.226	False	CDS	132.0	['chr7:128374043-128376051' 'chr7:128374043-128376061' 'chr7:128374043-128388964']
99	ENSMUSG00000023927	Satb1	2.199754616191629e-25	2.348238052784565e-23	0.115	True	5' UTR	214.0	['chr17:51809288-51826434' 'chr17:51809288-51831807' 'chr17:51809288-51832470' 'chr17:51809288-51833163']
376	ENSMUSG00000042079	Hnrnpf	4.8606707901618874e-21	4.1510128547982505e-19	0.153	True	5' UTR	6870.0	['chr6:117900507-117917470' 'chr6:117906840-117917470' 'chr6:117907209-117917470' 'chr6:117907880-117917470' 'chr6:117907919-117917470' 'chr6:117917072-117917470']
230	ENSMUSG00000040345	Arhgap9	8.868813554731624e-16	6.311638979784006e-14	0.526	True	CDS	301.0	['chr10:127322891-127325119' 'chr10:127323831-127325119' 'chr10:127324460-127325119']
355	ENSMUSG00000029204	Rhoh	1.4932862522707347e-15	9.109046138851477e-14	0.137	True	5' UTR	604.0	['chr5:65863151-65891553' 'chr5:65863882-65891553']
135	ENSMUSG00000000409	Lck	6.747200326919293e-15	3.601318174493172e-13	0.069	True	CDS	261.0	['chr4:129558191-129558288' 'chr4:129558191-129573515']
183	ENSMUSG00000000486	Septin1	3.258284949150674e-13	1.5458751925414867e-11	0.098	True	CDS	2472.0	['chr7:127218232-127218325' 'chr7:127218232-127218407']
159	ENSMUSG00000030067	Foxp1	2.2595580968554537e-12	9.648313073572788e-11	0.37	True	CDS	1392.0	['chr6:99076046-99096144' 'chr6:99076046-99162839']
215	ENSMUSG00000031506	Ptpn7	3.0813916354814335e-12	1.1961402075914292e-10	0.328	True	5' UTR	9558.0	['chr1:135132778-135133750' 'chr1:135132791-135133750' 'chr1:135133456-135133750']
271	ENSMUSG00000022148	Fyb	1.23408534048394e-11	4.3912870032220206e-10	0.242	True	CDS	3502.0	['chr15:6643764-6646637' 'chr15:6644900-6646637']
333	ENSMUSG00000027985	Lef1	7.361679555356743e-11	2.4180285924133308e-09	0.245	True	CDS	173.0	['chr3:131111679-131113856' 'chr3:131112821-131113856']
362	ENSMUSG00000049327	Kmt5a	4.708942524925702e-08	1.436227470102339e-06	0.348	True	CDS	3683.0	['chr5:124445729-124447214' 'chr5:124446085-124447214']
10	ENSMUSG00000040723	Rcsd1	1.0715114178652881e-07	2.859596096427988e-06	0.212	False	CDS	163.0	['chr1:165665051-165707891' 'chr1:165665051-165709254']
65	ENSMUSG00000041417	Pik3r1	1.7662553422766746e-07	4.189950173067444e-06	0.324	True	CDS	2551.0	['chr13:101690584-101694376' 'chr13:101690584-101701447']
252	ENSMUSG00000071379	Hpcal1	2.3318234667133908e-07	5.240466422561146e-06	0.36	False	5' UTR	1625.0	['chr12:17691047-17767214' 'chr12:17728309-17767214']
293	ENSMUSG00000024038	Ndufv3	2.700741583213488e-07	5.7660832801607966e-06	0.123	True	CDS	6849.0	['chr17:31521693-31531110' 'chr17:31528402-31531110']
160	ENSMUSG00000030067	Foxp1	3.169379086438021e-07	6.444404142423975e-06	0.338	True	5' UTR	1392.0	['chr6:99260420-99266347' 'chr6:99260420-99308344']
276	ENSMUSG00000022471	Xrcc6	3.7755903622611777e-07	7.328077657661467e-06	0.179	True	CDS	22.0	['chr15:82027412-82029122' 'chr15:82028155-82029122']
422	ENSMUSG00000025862	Stag2	5.947709456167408e-07	1.104205190340645e-05	0.241	True	5' UTR	4458.0	['chrX:42149686-42201855' 'chrX:42150835-42201855' 'chrX:42151089-42201855']
202	ENSMUSG00000002010	Idh3g	9.594796432707814e-07	1.5965780870368123e-05	0.234	True	CDS	10478.0	['chrX:73782104-73782298' 'chrX:73782104-73782675']
174	ENSMUSG00000030629	Zfand6	9.742880225559606e-07	1.5965780870368123e-05	0.283	True	5' UTR	10579.0	['chr7:84634410-84679310' 'chr7:84634410-84689746']
311	ENSMUSG00000054766	Set	1.009545862997516e-06	1.5965780870368123e-05	0.145	True	CDS	199.0	['chr2:30062281-30068269' 'chr2:30066894-30068269']
93	ENSMUSG00000067288	Rps28	1.5586517784214658e-06	2.3769439620927354e-05	0.078	True	3' UTR	57.0	['chr17:33823117-33823193' 'chr17:33823117-33823197']
181	ENSMUSG00000030695	Aldoa	2.1872744659911203e-06	3.2205730930283036e-05	0.069	True	CDS	292.0	['chr7:126797777-126797974' 'chr7:126797777-126799045']
