cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
10111	ENSMUSG00000030220	Arhgdib	8.47e-35	3.62e-32	0.079	chr6	[136933774]	[136941438 136941651 136941813]	True	5' UTR	
26094	ENSMUSG00000040990	Sh3kbp1	3.18e-34	6.790000000000001e-32	0.379	chrX	[159683702 159697475 159708744]	[159764012]	True	CDS	
11051	ENSMUSG00000030844	Rgs10	1.3700000000000001e-32	1.94e-30	0.227	chr7	[128374043]	[128376051 128376061 128388964]	False	CDS	
5276	ENSMUSG00000023927	Satb1	2.34e-25	2.4899999999999998e-23	0.116	chr17	[51809288]	[51826434 51831807 51832470 51833163]	True	5' UTR	
23084	ENSMUSG00000042079	Hnrnpf	5.100000000000001e-21	4.36e-19	0.15	chr6	[117900507 117906840 117907209 117907880 117907919 117917072]	[117917470]	True	5' UTR	
14419	ENSMUSG00000040345	Arhgap9	8.95e-16	6.37e-14	0.519	chr10	[127322891 127323831 127324460]	[127325119]	True	CDS	
22000	ENSMUSG00000029204	Rhoh	1.57e-15	9.59e-14	0.137	chr5	[65863151 65863882]	[65891553]	True	5' UTR	
8327	ENSMUSG00000000409	Lck	7.07e-15	3.77e-13	0.07	chr4	[129558191]	[129558288 129573515]	True	CDS	
11012	ENSMUSG00000000486	Septin1	3.36e-13	1.6e-11	0.098	chr7	[127218232]	[127218325 127218407]	True	CDS	
9896	ENSMUSG00000030067	Foxp1	2.27e-12	9.67e-11	0.366	chr6	[99076046]	[99096144 99162839]	True	CDS	
13573	ENSMUSG00000031506	Ptpn7	3.11e-12	1.21e-10	0.324	chr1	[135132778 135132791 135133456]	[135133750]	True	5' UTR	
16884	ENSMUSG00000022148	Fyb	1.27e-11	4.53e-10	0.24	chr15	[6643764 6644900]	[6646637]	True	CDS	
20779	ENSMUSG00000027985	Lef1	7.37e-11	2.42e-09	0.243	chr3	[131111679 131112821]	[131113856]	True	CDS	
22371	ENSMUSG00000049327	Kmt5a	4.73e-08	1.44e-06	0.345	chr5	[124445729 124446085]	[124447214]	True	CDS	
644	ENSMUSG00000040723	Rcsd1	1.08e-07	2.89e-06	0.21	chr1	[165665051]	[165707891 165709254]	False	CDS	
3316	ENSMUSG00000041417	Pik3r1	1.77e-07	4.2e-06	0.321	chr13	[101690584]	[101694376 101701447]	True	CDS	
15608	ENSMUSG00000071379	Hpcal1	2.34e-07	5.25e-06	0.357	chr12	[17691047 17728309]	[17767214]	False	5' UTR	
18071	ENSMUSG00000024038	Ndufv3	2.72e-07	5.81e-06	0.122	chr17	[31521693 31528402]	[31531110]	True	CDS	
9898	ENSMUSG00000030067	Foxp1	3.17e-07	6.45e-06	0.335	chr6	[99260420]	[99266347 99308344]	True	5' UTR	
17167	ENSMUSG00000022471	Xrcc6	3.92e-07	7.61e-06	0.178	chr15	[82027412 82028155]	[82029122]	True	CDS	
25846	ENSMUSG00000025862	Stag2	6.02e-07	1.12e-05	0.238	chrX	[42149686 42150835 42151089]	[42201855]	True	5' UTR	
12867	ENSMUSG00000002010	Idh3g	9.62e-07	1.65e-05	0.231	chrX	[73782104]	[73782298 73782675]	True	CDS	
10730	ENSMUSG00000030629	Zfand6	9.75e-07	1.65e-05	0.28	chr7	[84634410]	[84679310 84689746]	True	5' UTR	
19459	ENSMUSG00000054766	Set	1.01e-06	1.65e-05	0.144	chr2	[30062281 30066894]	[30068269]	True	CDS	
5088	ENSMUSG00000067288	Rps28	1.56e-06	2.38e-05	0.077	chr17	[33823117]	[33823193 33823197]	True	3' UTR	
10991	ENSMUSG00000030695	Aldoa	2.31e-06	3.41e-05	0.07	chr7	[126797777]	[126797974 126799045]	True	CDS	
5935	ENSMUSG00000024670	Cd6	7.58e-06	0.000108	0.18	chr19	[10791454]	[10792828 10794142]	True	CDS	
15389	ENSMUSG00000020612	Prkar1a	1.19e-05	0.000164	0.062	chr11	[109650625 109651074]	[109653779]	True	5' UTR	
5041	ENSMUSG00000061613	U2af1	1.28e-05	0.000171	0.083	chr17	[31648895]	[31651646 31652502]	True	CDS	
15700	ENSMUSG00000021000	Mia2	1.38e-05	0.000178	0.178	chr12	[59129897 59131605]	[59136064]	True	CDS	
7181	ENSMUSG00000002458	Rgs19	1.66e-05	0.000209	0.209	chr2	[181691355]	[181691490 181693879]	True	CDS	
21423	ENSMUSG00000028788	Ptp4a2	1.77e-05	0.000216	0.186	chr4	[129820602 129820800]	[129838978]	True	5' UTR	
5820	ENSMUSG00000056917	Sipa1	2.4e-05	0.000283	0.33	chr19	[5661112]	[5661596 5663604]	True	5' UTR	
22862	ENSMUSG00000053977	Cd8a	2.45e-05	0.000283	0.119	chr6	[71374870 71375919]	[71376860]	True	CDS	
