cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
52	ENSMUSG00000090841	Myl6	9.852648882053168e-175	8.473278038565725e-172	0.579	True	CDS	1703.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
462	ENSMUSG00000019929	Dcn	1.508611667194879e-131	6.487030168937978e-129	0.281	True	5' UTR	5215.0	['chr10:97479790-97483339' 'chr10:97479871-97483339' 'chr10:97479968-97483339' 'chr10:97482548-97483339']
588	ENSMUSG00000035258	Abi3bp	3.3864314651820665e-53	9.707770200188592e-51	0.727	True	CDS	2326.0	['chr16:56594537-56642489' 'chr16:56606194-56642489' 'chr16:56637125-56642489']
482	ENSMUSG00000018217	Pmp22	7.488106778567877e-53	1.6099429573920939e-50	0.277	False	5' UTR	1630.0	['chr11:63129151-63133125' 'chr11:63131655-63133125']
245	ENSMUSG00000028108	Ecm1	1.1190868723701187e-45	1.9248294204766044e-43	0.181	False	CDS	795.0	['chr3:95735420-95735847' 'chr3:95735420-95736472']
377	ENSMUSG00000031996	Aplp2	6.600932474147247e-44	9.461336546277719e-42	0.407	True	CDS	176.0	['chr9:31164674-31167561' 'chr9:31164674-31168708']
843	ENSMUSG00000032374	Plod2	1.9940731089053347e-34	2.4498612480836964e-32	0.434	True	CDS	565.0	['chr9:92600883-92602948' 'chr9:92602048-92602948']
780	ENSMUSG00000040940	Arhgef1	4.446719398356558e-31	4.7802233532333e-29	0.568	True	CDS	1343.0	['chr7:24918001-24919631' 'chr7:24919352-24919631']
800	ENSMUSG00000018819	Lsp1	1.5329346126583445e-30	1.4648041854290846e-28	0.262	True	CDS	8804.0	['chr7:142460967-142484479' 'chr7:142472365-142484479' 'chr7:142475418-142484479' 'chr7:142477367-142484479']
26	ENSMUSG00000015305	Sash1	4.741485714248034e-29	4.07767771425331e-27	0.572	True	CDS	6640.0	['chr10:8756762-8762095' 'chr10:8756762-8780519']
448	ENSMUSG00000004207	Psap	4.413974962604556e-28	3.4309786288127536e-26	0.075	True	CDS	560.0	['chr10:60296003-60299098' 'chr10:60297546-60299098']
533	ENSMUSG00000025290	Rps24	4.787412040203842e-28	3.4309786288127536e-26	0.24	True	CDS	4453.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
4	ENSMUSG00000026193	Fn1	5.6273119381234275e-28	3.7226832821431903e-26	0.079	False	CDS	169.0	['chr1:71590893-71593071' 'chr1:71590893-71598374']
590	ENSMUSG00000022744	Cldnd1	1.973945938147761e-27	1.2125667905764815e-25	0.297	True	5' UTR	10617.0	['chr16:58728085-58729438' 'chr16:58729224-58729438']
817	ENSMUSG00000031930	Wwp2	2.192912078213925e-27	1.2572695915093171e-25	0.612	True	CDS	52.0	['chr8:107540799-107545444' 'chr8:107545347-107545444']
764	ENSMUSG00000000693	Loxl3	3.9135253769094825e-27	2.103519890088847e-25	0.509	False	CDS	311.0	['chr6:83038610-83047988' 'chr6:83044807-83047988']
344	ENSMUSG00000030605	Mfge8	9.57395567593422e-27	4.843295224296136e-25	0.104	True	CDS	100.0	['chr7:79143051-79143278' 'chr7:79143051-79145247']
747	ENSMUSG00000034118	Tpst1	1.0940732363695127e-25	5.227238795987671e-24	0.171	False	5' UTR	1983.0	['chr5:130076913-130101590' 'chr5:130079662-130101590']
12	ENSMUSG00000006014	Prg4	5.262219344819863e-21	2.3818466508132017e-19	0.28	True	CDS	71.0	['chr1:150456338-150457488' 'chr1:150456338-150458149' 'chr1:150456338-150460652']
676	ENSMUSG00000027763	Mbnl1	1.7131012647403467e-20	7.366335438383491e-19	0.366	True	5' UTR	9386.0	['chr3:60473174-60528756' 'chr3:60501424-60528756' 'chr3:60528524-60528756']
715	ENSMUSG00000040690	Col16a1	1.9475674839799568e-20	7.975752553441728e-19	0.484	True	CDS	119.0	['chr4:130080621-130083122' 'chr4:130081480-130083122']
13	ENSMUSG00000006014	Prg4	2.6973624622207183e-20	1.054423507959008e-18	0.303	True	CDS	71.0	['chr1:150460772-150462097' 'chr1:150460772-150465498']
20	ENSMUSG00000026670	Uap1	2.872220822276165e-20	1.073960829198914e-18	0.21	True	CDS	4058.0	['chr1:170143464-170147996' 'chr1:170143464-170149271']
294	ENSMUSG00000004631	Sgce	7.313252189299192e-18	2.6205820344988767e-16	0.157	True	CDS	8758.0	['chr6:4689768-4690469' 'chr6:4689768-4691429']
789	ENSMUSG00000066406	Akap13	1.55402981421557e-17	5.345862560901561e-16	0.411	True	CDS	537.0	['chr7:75677480-75685117' 'chr7:75679874-75685117' 'chr7:75683460-75685117']
300	ENSMUSG00000029810	Tmem176b	2.3624858731582677e-16	7.81437634967735e-15	0.251	True	5' UTR	3011.0	['chr6:48838366-48840361' 'chr6:48838366-48840996' 'chr6:48838366-48841348']
859	ENSMUSG00000031342	Gpm6b	1.0251275060849152e-14	3.2652209453075066e-13	0.305	True	CDS	749.0	['chrX:166239137-166372638' 'chrX:166345082-166372638' 'chrX:166353685-166372638']
215	ENSMUSG00000024990	Rbp4	5.472246957277066e-14	1.6807615654493847e-12	0.437	True	CDS	72.0	['chr19:38124648-38124758' 'chr19:38124648-38124955']
5	ENSMUSG00000026193	Fn1	6.878254334157222e-14	2.039758181853521e-12	0.106	True	CDS	169.0	['chr1:71602498-71603660' 'chr1:71602498-71604970']
557	ENSMUSG00000023034	Nr4a1	1.0360847451912967e-13	2.9701096028817166e-12	0.062	True	5' UTR	633.0	['chr15:101258427-101270083' 'chr15:101260840-101270083' 'chr15:101266972-101270083' 'chr15:101269104-101270083']
148	ENSMUSG00000022425	Enpp2	1.77892174555094e-13	4.93507322959293e-12	0.278	True	CDS	8616.0	['chr15:54875761-54877776' 'chr15:54875761-54882130']
298	ENSMUSG00000009281	Rarres2	2.308882632607641e-13	6.205122075133038e-12	0.338	True	5' UTR	193.0	['chr6:48572291-48572594' 'chr6:48572291-48572740']
770	ENSMUSG00000038451	Spsb2	3.7566577169885686e-13	9.79007768669748e-12	0.512	False	5' UTR	448.0	['chr6:124808796-124809227' 'chr6:124809031-124809227']
332	ENSMUSG00000008140	Emc10	1.2643801633173304e-12	3.1981380601556e-11	0.258	True	CDS	7822.0	['chr7:44490971-44491163' 'chr7:44490971-44491955']
299	ENSMUSG00000029810	Tmem176b	1.8092528335444579e-12	4.322103991245095e-11	0.244	False	5' UTR	3011.0	['chr6:48838363-48840361' 'chr6:48838363-48840996' 'chr6:48838363-48841348']
6	ENSMUSG00000026193	Fn1	2.0843421433856433e-12	4.844687144085549e-11	0.266	True	CDS	169.0	['chr1:71612651-71613763' 'chr1:71612651-71615360']
149	ENSMUSG00000022425	Enpp2	3.3504809659242747e-12	7.582667449197044e-11	0.268	True	CDS	8616.0	['chr15:54919699-54919929' 'chr15:54919699-54952548']
501	ENSMUSG00000021000	Mia2	8.923226564805675e-12	1.967685857880226e-10	0.389	True	CDS	11893.0	['chr12:59137787-59146847' 'chr12:59144771-59146847' 'chr12:59146363-59146847']
412	ENSMUSG00000025268	Maged2	1.290929619808678e-11	2.7754986825886575e-10	0.254	True	5' UTR	154.0	['chrX:150812738-150813616' 'chrX:150812738-150814229']
