cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
24300	ENSMUSG00000018819	Lsp1	0.0	0.0	0.969	chr7	[142460967 142472365 142475418 142477367]	[142484479]	True	CDS	
16502	ENSMUSG00000025290	Rps24	0.0	0.0	0.808	chr14	[24493494 24495450]	[24495775]	True	CDS	
1417	ENSMUSG00000090841	Myl6	3.65e-190	9.409999999999999e-188	0.275	chr10	[128491034]	[128491290 128491720 128492059]	True	CDS	
19544	ENSMUSG00000026879	Gsn	1.43e-155	2.77e-153	0.826	chr2	[35266904 35282602 35282722]	[35283905]	True	5' UTR	
20401	ENSMUSG00000027763	Mbnl1	4.88e-139	7.56e-137	0.894	chr3	[60473174 60501424]	[60528756]	True	5' UTR	
7426	ENSMUSG00000028041	Adam15	2.15e-130	2.7699999999999997e-128	0.902	chr3	[89340180]	[89340401 89341508]	True	CDS	
20026	ENSMUSG00000027455	Nsfl1c	1.6e-83	1.7699999999999998e-81	0.896	chr2	[151500790 151502461]	[151503014]	True	CDS	
10114	ENSMUSG00000015766	Eps8	8.580000000000001e-73	8.3e-71	0.766	chr6	[137539402]	[137570702 137591418]	True	5' UTR	
23795	ENSMUSG00000066406	Akap13	8.190000000000001e-72	7.04e-70	0.667	chr7	[75697435 75702153]	[75704365]	True	CDS	
15176	ENSMUSG00000038811	Gngt2	4.61e-70	3.5699999999999996e-68	0.643	chr11	[95842427 95842796 95843393]	[95843812]	True	5' UTR	
10991	ENSMUSG00000030695	Aldoa	1.35e-66	9.47e-65	0.213	chr7	[126797777]	[126797974 126799045 126800002 126800288]	True	CDS	
22882	ENSMUSG00000056737	Capg	5.5e-66	3.55e-64	0.429	chr6	[72544467 72549502 72549869]	[72555273]	True	5' UTR	
20402	ENSMUSG00000027763	Mbnl1	1.89e-65	1.12e-63	0.497	chr3	[60473174 60501424 60529805]	[60595594]	True	5' UTR	
