cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
1417	ENSMUSG00000090841	Myl6	1.6633174711467945e-93	0.497	True	CDS	1712.0	3.2614068061701843e-96	chr10	[128491034]	[128491720 128492059]
659	ENSMUSG00000026670	Uap1	1.3214827011660547e-64	0.425	True	CDS	1720.0	5.1822851026119805e-67	chr1	[170143464]	[170147996 170149271]
22882	ENSMUSG00000056737	Capg	2.4011305758621794e-62	0.617	True	5' UTR	3124.0	1.4124297505071641e-64	chr6	[72544467 72549502]	[72555273]
16502	ENSMUSG00000025290	Rps24	4.502965881636694e-43	0.161	True	CDS	194.0	3.531737946381721e-45	chr14	[24493494 24495450]	[24495775]
4033	ENSMUSG00000022565	Plec	3.275471702467948e-38	0.499	True	CDS	9957.0	3.2112467671254395e-40	chr15	[76194813]	[76195424 76199549 76205598 76229358]
17736	ENSMUSG00000043336	Filip1l	3.5561900512735207e-34	0.76	True	CDS	9631.0	4.18375300149826e-36	chr16	[57513445 57549340]	[57569650]
23084	ENSMUSG00000042079	Hnrnpf	4.036320127764523e-34	0.366	True	5' UTR	1378.0	5.540047234186601e-36	chr6	[117906840 117907209 117907880 117907919]	[117917470]
20982	ENSMUSG00000073889	Il11ra1	1.5004336401700289e-31	0.271	True	5' UTR	4415.0	2.353621396345144e-33	chr4	[41760552 41762424]	[41763582]
21570	ENSMUSG00000028745	Capzb	7.046780365182502e-30	0.359	True	CDS	4760.0	1.2435494762086771e-31	chr4	[139287833 139288974]	[139291003]
19544	ENSMUSG00000026879	Gsn	4.9861982656531605e-28	0.143	True	5' UTR	1475.0	9.776859344417964e-30	chr2	[35266904 35282602]	[35283905]
22708	ENSMUSG00000029761	Cald1	1.1880179010758194e-25	0.252	True	CDS	9563.0	2.562391551340003e-27	chr6	[34686075 34709698]	[34741789]
25874	ENSMUSG00000023092	Fhl1	2.005452027261781e-23	0.427	True	5' UTR	4065.0	4.718710652380661e-25	chrX	[56754392 56786583]	[56787989]
