cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
534	ENSMUSG00000026395	Ptprc	3.1600000000000003e-58	4.23e-56	0.729	chr1	[138120167]	[138122456 138126303]	True	CDS	
533	ENSMUSG00000026395	Ptprc	6.6300000000000005e-50	4.4399999999999995e-48	0.557	chr1	[138117026]	[138117754 138120020 138126303]	True	CDS	
10111	ENSMUSG00000030220	Arhgdib	1.91e-17	8.51e-16	0.075	chr6	[136933774]	[136941438 136941651 136941813]	True	5' UTR	
14419	ENSMUSG00000040345	Arhgap9	4.43e-11	1.48e-09	0.442	chr10	[127322891 127323831 127324460]	[127325119]	True	CDS	
26094	ENSMUSG00000040990	Sh3kbp1	8.27e-10	2.22e-08	0.327	chrX	[159683702 159708744]	[159764012]	True	CDS	
9895	ENSMUSG00000030067	Foxp1	4.09e-07	9.14e-06	0.189	chr6	[99016666]	[99028164 99075854]	True	CDS	
12864	ENSMUSG00000002015	Bcap31	9.3e-05	0.00178	0.117	chrX	[73714929]	[73716118 73717661]	False	5' UTR	
20401	ENSMUSG00000027763	Mbnl1	0.000184	0.00274	0.191	chr3	[60473174 60501424]	[60528756]	True	5' UTR	
14553	ENSMUSG00000000378	Ccm2	0.000818	0.011	0.224	chr11	[6547030 6561242]	[6569964]	True	CDS	
17702	ENSMUSG00000055447	Cd47	0.00129	0.0157	0.139	chr16	[49868113 49869081]	[49884165]	True	CDS	
878	ENSMUSG00000078453	Abracl	0.00383	0.0367	0.099	chr10	[18018906]	[18022995 18023067]	True	5' UTR	
