cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
93	ENSMUSG00000074457	S100a16	5.442000816535112e-54	6.31272094718073e-52	0.542	True	5' UTR	2685.0	['chr3:90537418-90541994' 'chr3:90541318-90541994']
43	ENSMUSG00000030605	Mfge8	3.4402089216522425e-21	1.9953211745583008e-19	0.222	True	CDS	1556.0	['chr7:79143051-79143278' 'chr7:79143051-79145247']
48	ENSMUSG00000031996	Aplp2	9.978047570205637e-14	3.858178393812847e-12	0.349	True	CDS	216.0	['chr9:31164674-31167561' 'chr9:31164674-31168708']
1	ENSMUSG00000090841	Myl6	4.354708746059415e-10	1.2628655363572302e-08	0.205	True	CDS	2384.0	['chr10:128491034-128491290' 'chr10:128491034-128491720' 'chr10:128491034-128492059']
47	ENSMUSG00000031996	Aplp2	1.7069938150224164e-09	3.9602256508520056e-08	0.239	True	CDS	216.0	['chr9:31153500-31156190' 'chr9:31153500-31157695']
83	ENSMUSG00000053477	Tcf4	2.660113863322047e-06	5.142886802422624e-05	0.321	True	CDS	508.0	['chr18:69564685-69633577' 'chr18:69593585-69633577']
27	ENSMUSG00000025781	Atp5c1	6.362517292958116e-06	0.00010543600085473448	0.189	True	CDS	10230.0	['chr2:10056162-10056770' 'chr2:10056162-10058996']
71	ENSMUSG00000025290	Rps24	1.5152483370016392e-05	0.00021971100886523768	0.084	True	CDS	916.0	['chr14:24493494-24495430' 'chr14:24494070-24495430']
90	ENSMUSG00000042747	Krtcap2	1.755996130802774e-05	0.00022632839019235757	0.099	False	CDS	3570.0	['chr3:89246516-89246778' 'chr3:89246594-89246778']
91	ENSMUSG00000027940	Tpm3	0.00027803438542771305	0.003225198870961471	0.132	True	CDS	11482.0	['chr3:90088477-90089797' 'chr3:90089124-90089797']
115	ENSMUSG00000007815	Rhoa	0.0003622388129603242	0.00381997293667251	0.052	True	5' UTR	8935.0	['chr9:108306554-108315308' 'chr9:108307077-108315308']
25	ENSMUSG00000067288	Rps28	0.00041694956468141714	0.004030512458587032	0.069	True	3' UTR	685.0	['chr17:33823117-33823193' 'chr17:33823117-33823197']
101	ENSMUSG00000029076	Sdf4	0.0010170739579848703	0.00842718422330321	0.089	True	5' UTR	8686.0	['chr4:155993335-155996189' 'chr4:155993570-155996189']
100	ENSMUSG00000029064	Gnb1	0.0011089660377905756	0.008576004025580451	0.145	True	5' UTR	342.0	['chr4:155491581-155527413' 'chr4:155515680-155527413']
72	ENSMUSG00000025290	Rps24	0.0014922341006793306	0.010818697229925149	0.132	True	CDS	916.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
22	ENSMUSG00000022892	App	0.0028024283424270442	0.019122452218913948	0.17	True	CDS	1621.0	['chr16:85030366-85040251' 'chr16:85030366-85043576' 'chr16:85030366-85056324']
112	ENSMUSG00000032294	Pkm	0.007369895593670178	0.037169908211553936	0.133	True	CDS	9705.0	['chr9:59675196-59678044' 'chr9:59675735-59678044']
57	ENSMUSG00000019970	Sgk1	0.00798245247935288	0.03858185365020558	0.098	True	CDS	362.0	['chr10:21994182-21994966' 'chr10:21994826-21994966']
