cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
20561	ENSMUSG00000074457	S100a16	1.26e-53	1.47e-51	0.538	chr3	[90537418 90541318]	[90541994]	True	5' UTR	
10691	ENSMUSG00000030605	Mfge8	3.4800000000000006e-21	2.04e-19	0.223	chr7	[79143051]	[79143278 79145247]	True	CDS	
12083	ENSMUSG00000031996	Aplp2	1e-13	3.91e-12	0.347	chr9	[31164674]	[31167561 31168708]	True	CDS	
1417	ENSMUSG00000090841	Myl6	4.42e-10	1.29e-08	0.203	chr10	[128491034]	[128491290 128491720 128492059]	True	CDS	
12082	ENSMUSG00000031996	Aplp2	1.72e-09	4.01e-08	0.238	chr9	[31153500]	[31156190 31157695]	True	CDS	
18766	ENSMUSG00000053477	Tcf4	2.66e-06	5.19e-05	0.318	chr18	[69564685 69593585]	[69633577]	True	CDS	
6211	ENSMUSG00000025781	Atp5c1	6.37e-06	0.000107	0.188	chr2	[10056162]	[10056770 10058996]	True	CDS	
16501	ENSMUSG00000025290	Rps24	1.51e-05	0.000221	0.084	chr14	[24493494 24494070]	[24495430]	True	CDS	
20506	ENSMUSG00000042747	Krtcap2	1.78e-05	0.000232	0.099	chr3	[89246516 89246594]	[89246778]	False	CDS	
20541	ENSMUSG00000027940	Tpm3	0.000279	0.00327	0.132	chr3	[90088477 90089124]	[90089797]	True	CDS	
25604	ENSMUSG00000007815	Rhoa	0.000372	0.00395	0.052	chr9	[108306554 108307077]	[108315308]	True	5' UTR	
5088	ENSMUSG00000067288	Rps28	0.000417	0.00407	0.069	chr17	[33823117]	[33823193 33823197]	True	3' UTR	
21724	ENSMUSG00000029076	Sdf4	0.00103	0.00865	0.089	chr4	[155993335 155993570]	[155996189]	True	5' UTR	
21694	ENSMUSG00000029064	Gnb1	0.00111	0.00865	0.144	chr4	[155491581 155515680]	[155527413]	True	5' UTR	
16502	ENSMUSG00000025290	Rps24	0.00149	0.0109	0.131	chr14	[24493494 24495450]	[24495775]	True	CDS	
4721	ENSMUSG00000022892	App	0.0028	0.0193	0.168	chr16	[85030366]	[85040251 85043576 85056324]	True	CDS	
25338	ENSMUSG00000032294	Pkm	0.00737	0.0392	0.133	chr9	[59675196 59675735]	[59678044]	True	CDS	
13941	ENSMUSG00000019970	Sgk1	0.00799	0.0407	0.097	chr10	[21994182 21994826]	[21994966]	True	CDS	
