cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
24300	ENSMUSG00000018819	Lsp1	0.0	0.982	True	CDS		0.0	chr7	[142460967 142472365 142475418 142477367]	[142484479]
16502	ENSMUSG00000025290	Rps24	8.264629903524641e-178	0.566	True	CDS		1.7850172577807e-180	chr14	[24493494 24495450]	[24495775]
20561	ENSMUSG00000074457	S100a16	1.076765655714938e-120	0.837	True	5' UTR		3.488441649184464e-123	chr3	[90537418 90541318]	[90541994]
20401	ENSMUSG00000027763	Mbnl1	1.763756372725707e-92	0.726	True	5' UTR		7.618818024733079e-95	chr3	[60473174 60501424]	[60528756]
19544	ENSMUSG00000026879	Gsn	8.879108683277704e-85	0.603	True	5' UTR		4.7943351421585885e-87	chr2	[35266904 35282602 35282722]	[35283905]
1417	ENSMUSG00000090841	Myl6	9.770727973465692e-84	0.204	True	CDS		6.3309252527855464e-86	chr10	[128491034]	[128491290 128491720 128492059]
659	ENSMUSG00000026670	Uap1	1.1629968426743067e-55	0.591	True	CDS		8.79155280639325e-58	chr1	[170143464]	[170147996 170149271]
18591	ENSMUSG00000024395	Lims2	2.935351300232448e-54	0.512	True	5' UTR		2.5359406481489825e-56	chr18	[31922477 31931551]	[31941740]
10991	ENSMUSG00000030695	Aldoa	2.7182713220545827e-52	0.184	True	CDS		2.641948369167521e-54	chr7	[126797777]	[126797974 126799045 126800002 126800288]
16825	ENSMUSG00000036461	Elf1	2.123723692762519e-51	0.616	True	5' UTR		2.2934381131344693e-53	chr14	[79481638 79515771]	[79536123]
7426	ENSMUSG00000028041	Adam15	8.463094982565067e-48	0.445	True	CDS		1.0053352571081612e-49	chr3	[89340180]	[89340401 89341508]
26096	ENSMUSG00000040990	Sh3kbp1	2.80798377960526e-44	0.693	True	CDS		3.6388558698988245e-46	chrX	[159828580 159840612]	[159865325]
23795	ENSMUSG00000066406	Akap13	5.481341441754978e-43	0.545	True	CDS		7.695187769202453e-45	chr7	[75697435 75702153]	[75704365]
24288	ENSMUSG00000025511	Tspan4	9.95254630501353e-42	0.555	True	5' UTR		1.50470462494805e-43	chr7	[141475498 141476479]	[141482487]
22708	ENSMUSG00000029761	Cald1	1.6829378481199952e-40	0.676	True	CDS		2.7261412226565803e-42	chr6	[34686075 34709698]	[34741789]
10114	ENSMUSG00000015766	Eps8	3.022260819561706e-39	0.716	True	5' UTR		5.222048932288045e-41	chr6	[137539402]	[137570702 137591418]
22882	ENSMUSG00000056737	Capg	3.3404470934655286e-38	0.287	True	5' UTR		6.132570257982073e-40	chr6	[72544467 72549502 72549869]	[72555273]
1552	ENSMUSG00000001891	Ugp2	4.338923019465632e-37	0.615	True	CDS		8.552881709339116e-39	chr11	[21354407]	[21370187 21371015]
22281	ENSMUSG00000061288	Taok3	4.338923019465632e-37	0.624	True	5' UTR		8.902757815318254e-39	chr5	[117120340 117133776]	[117185527]
13434	ENSMUSG00000026305	Lrrfip1	3.082839252814483e-36	0.737	True	CDS		6.658400114070158e-38	chr1	[90998894 91053724]	[91068563]
20026	ENSMUSG00000027455	Nsfl1c	4.2052477910503886e-36	0.543	True	CDS		9.536739050978204e-38	chr2	[151500790 151502461]	[151503014]
18602	ENSMUSG00000024381	Bin1	5.94920320494379e-34	0.464	False	CDS		1.4134176080859974e-35	chr18	[32424968 32426353 32431743]	[32431983]
17034	ENSMUSG00000059895	Ptp4a3	1.3486435308642244e-33	0.66	True	CDS		3.349762549662761e-35	chr15	[73724849 73748466]	[73751129]
14873	ENSMUSG00000018217	Pmp22	1.2732299670451742e-32	0.287	False	5' UTR		3.2999480787347927e-34	chr11	[63129151 63131655]	[63133125]
6211	ENSMUSG00000025781	Atp5c1	1.5079910654326443e-32	0.17	True	CDS		4.071250176654006e-34	chr2	[10056162]	[10056770 10058996]
4904	ENSMUSG00000002504	Slc9a3r2	1.7332556598275527e-31	0.247	True	CDS		4.8665925653905356e-33	chr17	[24642371]	[24644819 24647527]
19215	ENSMUSG00000025026	Add3	2.663256701756373e-30	0.416	True	CDS		7.765435307496982e-32	chr19	[53242628 53244406]	[53244998]
15176	ENSMUSG00000038811	Gngt2	4.505136015109056e-30	0.379	True	5' UTR		1.3622441514368635e-31	chr11	[95842427 95842796 95843393]	[95843812]
20506	ENSMUSG00000042747	Krtcap2	3.6887328453126143e-29	0.132	False	CDS		1.1552187096551379e-30	chr3	[89246516 89246594]	[89246778]
14880	ENSMUSG00000033066	Gas7	3.83416646383914e-29	0.585	False	CDS		1.2421705606390304e-30	chr11	[67455775 67571351 67586816]	[67603108]
25404	ENSMUSG00000011958	Bnip2	8.057239154289624e-29	0.465	True	CDS		2.6973478810256847e-30	chr9	[70003668 70004342]	[70007064]
21966	ENSMUSG00000039191	Rbpj	3.1216601493413456e-28	0.413	False	5' UTR		1.0787594468566203e-29	chr5	[53466229 53590487 53590725]	[53627383]
18598	ENSMUSG00000024381	Bin1	5.194909845461974e-28	0.421	False	CDS		1.8513177635015677e-29	chr18	[32377491 32397712]	[32406100]
