cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
533	ENSMUSG00000026395	Ptprc	1.0500000000000001e-109	1.6099999999999999e-106	0.618	chr1	[138117026]	[138117754 138120020 138126303]	True	CDS	
10111	ENSMUSG00000030220	Arhgdib	2.04e-57	1.5599999999999998e-54	0.113	chr6	[136933774]	"[136935032 136939413 136939436 136939454 136939511 136940908 136941438
 136941651 136941813]"	True	5' UTR	
16502	ENSMUSG00000025290	Rps24	2.17e-43	1.11e-40	0.174	chr14	[24493494 24495450]	[24495775]	True	CDS	
1873	ENSMUSG00000078812	Eif5a	3.45e-29	1.32e-26	0.072	chr11	[69919337]	[69919449 69920341 69920801 69921024 69921163 69921187]	True	5' UTR	
22882	ENSMUSG00000056737	Capg	5.670000000000001e-29	1.74e-26	0.329	chr6	[72544467 72549502 72549869]	[72555273]	True	5' UTR	
18692	ENSMUSG00000062210	Tnfaip8	2.8499999999999997e-28	7.28e-26	0.356	chr18	[49979627 50031364 50053620]	[50090200]	True	CDS	
534	ENSMUSG00000026395	Ptprc	1.02e-22	1.95e-20	0.277	chr1	[138120167]	[138122456 138126303]	True	CDS	
10654	ENSMUSG00000052040	Klf13	1.69e-20	2.88e-18	0.152	chr7	[63891798]	[63936230 63937663 63937967]	True	CDS	
8195	ENSMUSG00000028677	Rnf220	3.21e-17	4.92e-15	0.323	chr4	[117289069]	[117289199 117289203 117296132]	True	CDS	
17034	ENSMUSG00000059895	Ptp4a3	1.11e-16	1.55e-14	0.174	chr15	[73724849 73748466 73749389]	[73751129]	True	CDS	
10206	ENSMUSG00000063802	Hspbp1	1.9e-16	2.43e-14	0.264	chr7	[4664859]	[4674448 4677707]	False	CDS	
15345	ENSMUSG00000061086	Myl4	4.45e-16	5.24e-14	0.265	chr11	[104580430 104582030 104582163 104582923]	[104583978]	False	CDS	
21696	ENSMUSG00000029063	Nadk	8.65e-16	9.48e-14	0.459	chr4	[155562456 155563980]	[155576993]	True	5' UTR	
9143	ENSMUSG00000048163	Selplg	1.33e-15	1.36e-13	0.316	chr5	[113820249]	[113830349 113832429]	True	5' UTR	
10548	ENSMUSG00000008140	Emc10	1.98e-15	1.9e-13	0.224	chr7	[44490971]	[44491163 44491955]	True	CDS	
23084	ENSMUSG00000042079	Hnrnpf	2.03e-14	1.83e-12	0.139	chr6	[117900507 117906840 117907209 117907880 117907919 117917072]	[117917470]	True	5' UTR	
9695	ENSMUSG00000004980	Hnrnpa2b1	3.83e-14	3.26e-12	0.057	chr6	[51467296]	[51467391 51469671]	True	CDS	
6600	ENSMUSG00000027010	Slc25a12	5.8e-14	4.68e-12	0.341	chr2	[71333721]	[71338158 71343890]	False	CDS	
532	ENSMUSG00000026395	Ptprc	6.7e-14	5.14e-12	0.067	chr1	[138115643]	[138116954 138126303]	True	CDS	
13205	ENSMUSG00000073702	Rpl31	1.5e-13	1.1e-11	0.058	chr1	[39367935 39368007 39368012]	[39368149]	True	5' UTR	
25563	ENSMUSG00000048758	Rpl29	2.36e-13	1.65e-11	0.094	chr9	[106429577 106429640 106429814]	[106429970]	True	5' UTR	
20401	ENSMUSG00000027763	Mbnl1	1.06e-12	7.04e-11	0.145	chr3	[60473174 60501095 60501424]	[60528756]	True	5' UTR	
16165	ENSMUSG00000021457	Syk	2.4e-12	1.53e-10	0.291	chr13	[52583606 52597055]	[52610796]	True	5' UTR	
19643	ENSMUSG00000064289	Tank	4.03e-12	2.47e-10	0.452	chr2	[61578694 61593209 61594202]	[61613651]	True	CDS	
3393	ENSMUSG00000012405	Rpl15	2.93e-11	1.73e-09	0.068	chr14	[18270461]	[18270823 18270845 18270959]	True	5' UTR	
17702	ENSMUSG00000055447	Cd47	3.98e-11	2.26e-09	0.117	chr16	[49868113 49869081]	[49884165]	True	CDS	
1612	ENSMUSG00000042032	Mat2b	1.87e-10	1.02e-08	0.196	chr11	[40687796]	[40692478 40694803]	True	CDS	
9899	ENSMUSG00000030067	Foxp1	1.96e-10	1.04e-08	0.368	chr6	[99308439]	[99338241 99339301 99435216]	False	5' UTR	
23795	ENSMUSG00000066406	Akap13	2.07e-10	1.06e-08	0.302	chr7	[75697435 75702153]	[75704365]	True	CDS	
16825	ENSMUSG00000036461	Elf1	2.13e-10	1.06e-08	0.11	chr14	[79481638 79515771 79516485 79535629 79535702]	[79536123]	False	5' UTR	
5608	ENSMUSG00000024431	Nr3c1	3.28e-10	1.57e-08	0.177	chr18	[39487246]	[39489477 39490568 39519163]	True	5' UTR	
20069	ENSMUSG00000027593	Raly	1.07e-09	4.84e-08	0.067	chr2	[154859751 154859959]	[154861840]	True	CDS	
2807	ENSMUSG00000113902	Ndufb1-ps	1.69e-09	7.2e-08	0.059	chr12	[101969638]	[101975660 101976784]	True	5' UTR	
3139	ENSMUSG00000015937	Macroh2a1	7.34e-09	2.81e-07	0.087	chr13	[56084286]	[56088252 56089758 56096124]	True	CDS	
12256	ENSMUSG00000032312	Csk	1.44e-08	5.37e-07	0.162	chr9	[57631444]	[57633995 57644995 57651832]	False	5' UTR	
7917	ENSMUSG00000028459	Cd72	2.77e-08	9.66e-07	0.102	chr4	[43452640]	[43453083 43454242 43454446]	True	CDS	
22294	ENSMUSG00000029599	Ddx54	3.83e-08	1.3e-06	0.141	chr5	[120620759 120621486]	[120621615]	False	CDS	
4127	ENSMUSG00000068105	Tnfrsf13c	5.97e-08	1.99e-06	0.058	chr15	[82223923]	[82224168 82224220]	True	CDS	
15176	ENSMUSG00000038811	Gngt2	1.01e-07	3.16e-06	0.072	chr11	[95842427 95843393]	[95843812]	True	5' UTR	
7182	ENSMUSG00000002458	Rgs19	1.47e-07	4.5e-06	0.203	chr2	[181691596]	[181691721 181693363 181693479 181693879]	True	CDS	
18317	ENSMUSG00000071068	Treml2	1.79e-07	5.39e-06	0.074	chr17	[48302933 48308274]	[48309119]	False	CDS	
20140	ENSMUSG00000035268	Pkig	1.84e-07	5.41e-06	0.142	chr2	[163658493 163658660 163659236 163661607]	[163703486]	True	5' UTR	
7925	ENSMUSG00000028465	Tln1	2.43e-07	7.03e-06	0.058	chr4	[43556784]	[43558085 43562130]	False	5' UTR	
11580	ENSMUSG00000070000	Fcho1	2.86e-07	8.13e-06	0.279	chr8	[71721860]	[71723235 71725633]	True	5' UTR	
12736	ENSMUSG00000031167	Rbm3	3.5e-07	9.59e-06	0.093	chrX	[8142956]	[8143247 8143251]	True	3' UTR	
9849	ENSMUSG00000030057	Cnbp	5.07e-07	1.34e-05	0.074	chr6	[87845558]	[87845656 87845674 87845677]	True	CDS	
3158	ENSMUSG00000021546	Hnrnpk	5.07e-07	1.34e-05	0.052	chr13	[58400418]	[58402064 58402393]	True	5' UTR	
9895	ENSMUSG00000030067	Foxp1	5.86e-07	1.52e-05	0.165	chr6	[99016666]	[99028164 99028674 99075854]	True	CDS	
11332	ENSMUSG00000031557	Plekha2	7.72e-07	1.97e-05	0.172	chr8	[25088506]	[25101660 25102034 25104468]	False	5' UTR	
25811	ENSMUSG00000001924	Uba1	1.23e-06	3.03e-05	0.202	chrX	[20658527 20663126]	[20668449]	True	5' UTR	
15405	ENSMUSG00000057322	Rpl38	1.44e-06	3.5e-05	0.055	chr11	[114668610 114668627 114668686]	[114668781]	True	5' UTR	
13663	ENSMUSG00000053332	Gas5	1.69e-06	4.05e-05	0.128	chr1	[161036853 161037165]	[161037288]	True	Non-coding	
22739	ENSMUSG00000029911	Ssbp1	1.87e-06	4.33e-05	0.193	chr6	[40471460 40471674 40471826]	[40472071]	False	5' UTR	
6197	ENSMUSG00000039128	Cdc123	1.89e-06	4.33e-05	0.14	chr2	[5823198]	[5833081 5833656]	False	CDS	
9150	ENSMUSG00000041890	Git2	2.6e-06	5.79e-05	0.239	chr5	[114733944]	[114737348 114739033]	True	CDS	
7053	ENSMUSG00000035399	Oser1	4.98e-06	0.000102	0.085	chr2	[163415656]	[163419041 163419412]	True	5' UTR	
3972	ENSMUSG00000022378	Fam49b	5.29e-06	0.000105	0.104	chr15	[63970969]	[63997898 64022570 64060195]	True	5' UTR	
22054	ENSMUSG00000029249	Rest	5.33e-06	0.000105	0.231	chr5	[77265789 77266414]	[77267932]	True	5' UTR	
18598	ENSMUSG00000024381	Bin1	5.74e-06	0.000111	0.093	chr18	[32377491 32397712 32397791]	[32406100]	False	CDS	
25197	ENSMUSG00000032097	Ddx6	6.1e-06	0.000117	0.195	chr9	[44604746 44604928 44604953 44604985 44605149]	[44607123]	False	5' UTR	
13434	ENSMUSG00000026305	Lrrfip1	9.6e-06	0.000177	0.073	chr1	[90998894 91053724]	[91068563]	True	CDS	
14036	ENSMUSG00000019920	Lims1	1.07e-05	0.000195	0.152	chr10	[58323688 58352198 58371700]	[58399021]	False	CDS	
