cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
94	ENSMUSG00000074457	S100a16	1.3081954495138614e-33	1.5044247669409407e-31	0.706	True	5' UTR	346.0	['chr3:90537418-90541994' 'chr3:90541191-90541994' 'chr3:90541195-90541994' 'chr3:90541318-90541994']
58	ENSMUSG00000038587	Akap12	2.071280964712552e-23	1.1909865547097172e-21	0.581	True	CDS	3993.0	['chr10:4313858-4353142' 'chr10:4334710-4353142']
63	ENSMUSG00000020486	Septin4	2.278017646069929e-22	8.732400976601396e-21	0.217	True	CDS	207.0	['chr11:87578538-87583921' 'chr11:87581226-87583921' 'chr11:87583615-87583921']
59	ENSMUSG00000019920	Lims1	2.458387907621593e-17	7.067865234412081e-16	0.538	True	CDS	605.0	['chr10:58323688-58399021' 'chr10:58394601-58399021']
29	ENSMUSG00000028649	Macf1	2.0206202523142039e-16	4.647426580322669e-15	0.481	True	CDS	60.0	['chr4:123554366-123613587' 'chr4:123554366-123664466']
64	ENSMUSG00000069763	Tmem100	9.027371506943076e-15	1.730246205497423e-13	0.305	False	5' UTR	333.0	['chr11:90030744-90033590' 'chr11:90033122-90033590' 'chr11:90033391-90033590']
49	ENSMUSG00000030695	Aldoa	3.5174461078581168e-12	5.7786614629097634e-11	0.224	True	CDS	8574.0	['chr7:126797777-126799045' 'chr7:126797777-126800002' 'chr7:126797777-126800288']
22	ENSMUSG00000025781	Atp5c1	6.023486083978392e-11	8.658761245718939e-10	0.366	True	CDS	5310.0	['chr2:10056162-10056770' 'chr2:10056162-10058996']
100	ENSMUSG00000037736	Limch1	5.708241758490406e-10	7.293864469182184e-09	0.35	True	CDS	24.0	['chr5:66881969-66953669' 'chr5:66898624-66953669']
33	ENSMUSG00000004631	Sgce	3.880973105676394e-09	4.463119071527853e-08	0.228	True	CDS	2870.0	['chr6:4689768-4690469' 'chr6:4689768-4691429']
104	ENSMUSG00000029860	Zyx	4.626458992513505e-09	4.836752583082301e-08	0.149	True	CDS	96.0	['chr6:42351149-42351475' 'chr6:42351363-42351475']
1	ENSMUSG00000090841	Myl6	3.4235684978678664e-08	3.280919810456705e-07	0.229	True	CDS	485.0	['chr10:128491034-128491720' 'chr10:128491034-128492059']
102	ENSMUSG00000029761	Cald1	1.5178921189632167e-07	1.3427507206213072e-06	0.289	True	CDS	440.0	['chr6:34686075-34741789' 'chr6:34709698-34741789']
45	ENSMUSG00000052040	Klf13	3.317883522849393e-06	2.559875380603597e-05	0.23	True	CDS	7529.0	['chr7:63891798-63936230' 'chr7:63891798-63937967']
38	ENSMUSG00000038521	C1s1	3.3389678877438218e-06	2.559875380603597e-05	0.125	True	5' UTR	723.0	['chr6:124541489-124542193' 'chr6:124541489-124542268']
78	ENSMUSG00000022841	Ap2m1	5.795007710238738e-06	4.165161791734093e-05	0.285	True	CDS	5266.0	['chr16:20540416-20540975' 'chr16:20540814-20540975']
95	ENSMUSG00000073889	Il11ra1	1.8661826003154485e-05	0.00012624176413898622	0.159	True	5' UTR	684.0	['chr4:41760552-41763582' 'chr4:41762424-41763582']
98	ENSMUSG00000028745	Capzb	3.7924937248032126e-05	0.00024229821019576073	0.097	True	CDS	4689.0	['chr4:139287833-139291003' 'chr4:139288974-139291003']
62	ENSMUSG00000018217	Pmp22	0.00017526002908010052	0.0010607843865374506	0.13	False	5' UTR	1098.0	['chr11:63129151-63133125' 'chr11:63131655-63133125']
15	ENSMUSG00000022892	App	0.00033578258831919205	0.0019307498828353548	0.156	True	CDS	1947.0	['chr16:84965771-84971408' 'chr16:84965771-84978064']
44	ENSMUSG00000003420	Fcgrt	0.0009077104791034225	0.00476362561264145	0.117	True	CDS	764.0	['chr7:45102186-45102402' 'chr7:45102186-45102414']
36	ENSMUSG00000029810	Tmem176b	0.0010222105288911405	0.004898092117603382	0.12	True	5' UTR	891.0	['chr6:48838366-48840361' 'chr6:48838366-48840996' 'chr6:48838366-48841348']
50	ENSMUSG00000038650	Rnh1	0.001121137491042227	0.005036762442937309	0.221	True	CDS	1082.0	['chr7:141166788-141168676' 'chr7:141166788-141172742']
99	ENSMUSG00000061535	C1qtnf7	0.0016364796677617926	0.006970191177503931	0.207	False	5' UTR	310.0	['chr5:43515677-43609053' 'chr5:43515987-43609053']
52	ENSMUSG00000031996	Aplp2	0.002494905762408688	0.010246934381321396	0.126	True	CDS	3603.0	['chr9:31153500-31156190' 'chr9:31153500-31157695']
53	ENSMUSG00000031996	Aplp2	0.002689002486616689	0.010663285722790315	0.164	True	CDS	3603.0	['chr9:31164674-31167561' 'chr9:31164674-31168708']
101	ENSMUSG00000005514	Por	0.0032749845431936753	0.012554107415575756	0.096	True	5' UTR	627.0	['chr5:135670117-135715872' 'chr5:135689253-135715872']
113	ENSMUSG00000023092	Fhl1	0.003805669650269837	0.01411780676713004	0.053	True	5' UTR	55.0	['chrX:56731869-56754335' 'chrX:56731886-56754335' 'chrX:56732169-56754335']
47	ENSMUSG00000030605	Mfge8	0.00400864607158115	0.01440607181974476	0.082	True	CDS	525.0	['chr7:79143051-79143278' 'chr7:79143051-79145247']
109	ENSMUSG00000025810	Nrp1	0.004223639398247629	0.014718743357529616	0.114	False	CDS	7588.0	['chr8:128480969-128487897' 'chr8:128480990-128487897']
16	ENSMUSG00000022892	App	0.009695236107391527	0.0318557757814293	0.148	True	CDS	1947.0	['chr16:85030366-85040251' 'chr16:85030366-85043576' 'chr16:85030366-85056324']
13	ENSMUSG00000002524	Puf60	0.01279868065765118	0.0387328493586812	0.137	True	CDS	3737.0	['chr15:76072569-76074607' 'chr15:76072569-76075542']
