cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
4674	ENSMUSG00000022754	Tmem45a	3.7121111022889393e-90	0.484	True	5' UTR		2.1370818090322043e-93	chr16	[56825859]	[56831704 56867643 56885813]
3316	ENSMUSG00000041417	Pik3r1	9.358706715575369e-38	0.363	True	CDS		1.6163569456952279e-40	chr13	[101690584]	[101692183 101694376 101701447]
1417	ENSMUSG00000090841	Myl6	8.334922098273092e-30	0.079	True	CDS		1.9193833271786046e-32	chr10	[128491034]	[128491290 128491720 128492059]
16502	ENSMUSG00000025290	Rps24	7.521452395654366e-27	0.104	True	CDS		2.1650697742240544e-29	chr14	[24493494 24495450]	[24495775]
23521	ENSMUSG00000030588	Yif1b	7.574267275507035e-27	0.29	True	CDS		2.61632721088326e-29	chr7	[29238437 29238446 29238612]	[29244070]
13009	ENSMUSG00000031431	Tsc22d3	2.5421691881357025e-26	0.165	True	CDS		1.02447808387737e-28	chrX	[140542157]	[140542846 140598128]
7738	ENSMUSG00000028266	Lmo4	1.4083789344574602e-24	0.245	True	5' UTR		6.486489047587612e-27	chr3	[144202052]	[144202248 144204820]
19544	ENSMUSG00000026879	Gsn	8.962004345324432e-22	0.164	True	5' UTR		4.643525567525613e-24	chr2	[35266904 35282602 35282722]	[35283905]
3231	ENSMUSG00000021585	Cast	1.8110215594512008e-21	0.325	True	CDS		1.0426145995689122e-23	chr13	[74798719]	[74807819 74808436]
22882	ENSMUSG00000056737	Capg	2.350277051059124e-21	0.137	True	5' UTR		1.4883734923229913e-23	chr6	[72544467 72549502 72549553 72549869]	[72555273]
6158	ENSMUSG00000025085	Ablim1	1.8139774595484763e-20	0.513	True	CDS		1.253179592088757e-22	chr19	[57083604]	[57118752 57132862]
11449	ENSMUSG00000058056	Palld	5.581613678846704e-20	0.401	True	CDS		4.17737350748458e-22	chr8	[61550246]	[61591060 61684735]
8210	ENSMUSG00000033295	Ptprf	4.991369391020153e-18	0.282	False	5' UTR		4.0229805108970715e-20	chr4	[118284853]	[118287648 118291180]
19459	ENSMUSG00000054766	Set	1.252575884883305e-17	0.148	True	CDS		1.1537831985108164e-19	chr2	[30062281 30066894]	[30068269]
24884	ENSMUSG00000031930	Wwp2	3.8788539712093856e-17	0.419	True	CDS		3.796230138777177e-19	chr8	[107540799 107545347]	[107545444]
18692	ENSMUSG00000062210	Tnfaip8	9.849106139938676e-17	0.225	True	CDS		1.0206327606154069e-18	chr18	[49979627 50031364 50053620]	[50090200]
14873	ENSMUSG00000018217	Pmp22	2.266372750393569e-16	0.143	False	5' UTR		2.479049064909488e-18	chr11	[63129151 63131655]	[63133125]
19064	ENSMUSG00000024921	Smarca2	2.4828034456693794e-16	0.398	False	5' UTR		2.8587259017494293e-18	chr19	[26605234 26607056 26607544]	[26619684]
9946	ENSMUSG00000030315	Vgll4	2.1521799366123163e-15	0.242	True	CDS		2.6019446556625584e-17	chr6	[114890807]	[114921317 114957936]
13660	ENSMUSG00000053332	Gas5	1.13233258352959e-14	0.055	False	Non-coding		1.4341575611773736e-16	chr1	[161036015 161036245]	[161036549]
1055	ENSMUSG00000019947	Arid5b	2.2100455646091125e-14	0.234	True	CDS		3.058157381059408e-16	chr10	[68135107]	[68136486 68186026]
20374	ENSMUSG00000027750	Postn	3.657884818310289e-13	0.304	True	CDS		5.685831323798377e-15	chr3	[54377607 54380493]	[54383388]
13930	ENSMUSG00000039835	Nhsl1	7.892940075962181e-13	0.223	True	CDS		1.272321946614514e-14	chr10	[18319277 18470166]	[18472919]
15745	ENSMUSG00000021109	Hif1a	1.4818445594802476e-12	0.17	True	5' UTR		2.474006460847852e-14	chr12	[73901499 73908325]	[73926557]
19066	ENSMUSG00000024921	Smarca2	1.6535768774042456e-12	0.206	True	CDS		2.855918613824258e-14	chr19	[26720948 26749948]	[26751824]
3393	ENSMUSG00000012405	Rpl15	2.4703767081018414e-10	0.073	True	5' UTR		4.977730845340496e-12	chr14	[18270461]	[18270823 18270845 18270959]
12126	ENSMUSG00000032015	Pou2f3	3.3744375343058025e-10	0.192	False	CDS		6.993652920841041e-12	chr9	[43127458]	[43127621 43128878]
21330	ENSMUSG00000000085	Scmh1	5.003297701289353e-10	0.32	True	CDS		1.0657571384439037e-11	chr4	[120517078 120517707]	[120522455]
21575	ENSMUSG00000066036	Ubr4	8.662735397596937e-10	0.357	False	CDS		1.895129217666572e-11	chr4	[139480837 139482253]	[139482458]
17539	ENSMUSG00000022884	Eif4a2	9.391613998044226e-10	0.177	False	CDS		2.1086525384209832e-11	chr16	[23111897 23112458 23112462]	[23113167]
8582	ENSMUSG00000039759	Thap3	2.411804077441518e-09	0.28	True	CDS		5.553952970504359e-11	chr4	[151983353]	[151983635 151985669]
3529	ENSMUSG00000058690	Ccser2	3.129162907208112e-09	0.347	True	CDS		7.386049464336936e-11	chr14	[36918597]	[36919225 36926839]
2339	ENSMUSG00000087259	2610035D17Rik	3.868821209728921e-09	0.454	False	Non-coding		9.354662683282366e-11	chr11	[113067387]	[113172953 113201291]
12736	ENSMUSG00000031167	Rbm3	3.875239128159429e-09	0.097	True	3' UTR		9.593280513002616e-11	chrX	[8142956]	[8143247 8143251]
20102	ENSMUSG00000061689	Dlgap4	5.570319262310637e-09	0.254	False	CDS		1.4338967214612326e-10	chr2	[156721088 156722103 156731058]	[156745835]
