cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
7194	ENSMUSG00000027506	Tpd52	1.01e-75	2.07e-72	0.185	chr3	[8953800]	[8963832 8963847 8963851 9003288 9004405]	True	CDS	
4033	ENSMUSG00000022565	Plec	9.23e-63	1.2600000000000001e-59	0.36	chr15	[76194813]	[76195424 76197980 76199549 76205598 76208965 76229358]	True	CDS	
10614	ENSMUSG00000003271	Sult2b1	4.26e-46	4.37e-43	0.445	chr7	[45731419]	[45731827 45733619]	False	CDS	
1756	ENSMUSG00000020444	Guk1	4.55e-44	3.73e-41	0.134	chr11	[59186888]	[59187703 59187707 59191751]	True	CDS	
14827	ENSMUSG00000042569	Dhrs7b	1.2e-43	8.22e-41	0.239	chr11	[60830732 60830761 60837930 60841979]	[60844165]	False	CDS	
22954	ENSMUSG00000029993	Nfu1	5.73e-41	3.36e-38	0.095	chr6	[87023189 87025122]	[87025486]	False	CDS	
9721	ENSMUSG00000029780	Nt5c3	4.99e-40	2.5600000000000002e-37	0.318	chr6	[56892889]	[56897775 56901838 56923672]	True	CDS	
25408	ENSMUSG00000033543	Gtf2a2	1.68e-39	7.650000000000001e-37	0.103	chr9	[70019516 70020544]	[70022437]	False	CDS	
20307	ENSMUSG00000027695	Pld1	1.4e-38	5.7300000000000003e-36	0.433	chr3	[27952663 27984337]	[28024163]	True	5' UTR	
25656	ENSMUSG00000032497	Lrrfip2	6.08e-36	2.26e-33	0.249	chr9	[111161390 111167245 111170325]	[111188762]	False	CDS	
394	ENSMUSG00000026277	Stk25	4.980000000000001e-32	1.46e-29	0.251	chr1	[93635384]	[93635547 93654019]	False	5' UTR	
19216	ENSMUSG00000025025	Mxi1	1.07e-31	2.94e-29	0.384	chr19	[53310974 53329721]	[53331351]	True	CDS	
8050	ENSMUSG00000028496	Mllt3	2.35e-31	6.02e-29	0.497	chr4	[87794012]	[87806211 87840682]	True	CDS	
3139	ENSMUSG00000015937	Macroh2a1	2.92e-31	7.03e-29	0.193	chr13	[56084286]	[56088252 56089758 56096124]	True	CDS	
15394	ENSMUSG00000020623	Map2k6	7.29e-31	1.66e-28	0.453	chr11	[110399426 110479436]	[110482539]	True	CDS	
19092	ENSMUSG00000024899	Papss2	9.5e-31	2.05e-28	0.17	chr19	[32641412 32646344]	[32651896]	True	CDS	
21665	ENSMUSG00000028937	Acot7	3.71e-30	7.6e-28	0.188	chr4	[152174436 152178341 152199958 152200090]	[152206764]	True	5' UTR	
1873	ENSMUSG00000078812	Eif5a	4.24e-30	8.27e-28	0.06	chr11	[69919337]	[69919449 69920341 69920781 69920801 69921024 69921163 69921187]	True	5' UTR	
2707	ENSMUSG00000021118	Plek2	4.57e-29	8.140000000000001e-27	0.161	chr12	[78900220]	[78906891 78908223]	False	CDS	
1552	ENSMUSG00000001891	Ugp2	4.14e-28	7.080000000000001e-26	0.215	chr11	[21354407]	[21370187 21371015]	True	CDS	
16064	ENSMUSG00000018102	H2bc4	1.72e-27	2.81e-25	0.051	chr13	[23684622 23685855]	[23692176]	False	3' UTR	
21291	ENSMUSG00000033423	Eri3	1.85e-27	2.91e-25	0.088	chr4	[117589158 117590172]	[117593071]	False	CDS	
10114	ENSMUSG00000015766	Eps8	2.0100000000000003e-27	3.05e-25	0.327	chr6	[137539402]	[137570702 137591418]	True	5' UTR	
4629	ENSMUSG00000110573	Gm5485	3.7500000000000003e-26	5.4899999999999995e-24	0.088	chr16	[48401674]	[48410001 48412232]	False	CDS	
4684	ENSMUSG00000022747	St3gal6	4.4e-26	6.21e-24	0.122	chr16	[58507615]	[58523076 58523317 58523502 58523927 58524124]	True	5' UTR	
8993	ENSMUSG00000029370	Rassf6	1.05e-25	1.43e-23	0.244	chr5	[90631607]	[90636072 90639573 90640387 90640570 90640582]	False	5' UTR	
4260	ENSMUSG00000023031	Cela1	4.94e-25	6.53e-23	0.095	chr15	[100675474]	[100679003 100681143 100682887]	True	CDS	
3601	ENSMUSG00000000958	Slc7a7	1.2e-24	1.49e-22	0.244	chr14	[54409049]	[54409250 54409853 54410078 54410153 54413880]	True	5' UTR	
11162	ENSMUSG00000038650	Rnh1	4.93e-24	5.94e-22	0.143	chr7	[141166788]	[141168574 141168676 141172742]	True	CDS	
3298	ENSMUSG00000021639	Gtf2h2	2.5999999999999997e-23	3.0500000000000004e-21	0.395	chr13	[100460421]	[100461848 100463517 100468915]	False	CDS	
919	ENSMUSG00000019791	Hint3	3.4099999999999995e-23	3.88e-21	0.101	chr10	[30614831]	[30618203 30629324]	True	CDS	
15702	ENSMUSG00000021000	Mia2	1.5e-22	1.62e-20	0.133	chr12	[59137787 59144771 59146363]	[59146847]	True	CDS	
6240	ENSMUSG00000063275	Hacd1	2.9e-22	3.05e-20	0.115	chr2	[14045256]	[14055731 14059630]	False	CDS	
10730	ENSMUSG00000030629	Zfand6	2.98e-22	3.05e-20	0.08	chr7	[84634410]	[84652882 84679310 84689746]	True	5' UTR	
19225	ENSMUSG00000024981	Acsl5	4.33e-21	4.23e-19	0.11	chr19	[55252077 55254167]	[55268644]	True	5' UTR	
1999	ENSMUSG00000001123	Lgals9	6.890000000000001e-21	6.57e-19	0.066	chr11	[78976702]	[78977669 78984778]	False	CDS	
12474	ENSMUSG00000040433	Zbtb38	8.030000000000001e-21	7.48e-19	0.307	chr9	[96718310]	[96719290 96719786 96731292 96751302]	False	5' UTR	
9440	ENSMUSG00000029617	Ccz1	9.04e-21	8.24e-19	0.064	chr5	[143991631]	[143992379 143992509]	True	CDS	
20763	ENSMUSG00000046688	Tifa	1.74e-20	1.52e-18	0.302	chr3	[127789538 127790172]	[127791473]	False	5' UTR	
3393	ENSMUSG00000012405	Rpl15	4.46e-20	3.66e-18	0.08	chr14	[18270461]	[18270823 18270845 18270959]	True	5' UTR	
6933	ENSMUSG00000037025	Foxa2	1.14e-19	9.16e-18	0.274	chr2	[148044825]	[148045275 148045827]	True	CDS	
9032	ENSMUSG00000035325	Sec31a	1.33e-19	1.03e-17	0.24	chr5	[100368353]	[100369596 100373380 100373425]	False	CDS	
22985	ENSMUSG00000030096	Slc6a6	3.18e-19	2.34e-17	0.202	chr6	[91699033 91705978]	[91723282]	False	5' UTR	
23132	ENSMUSG00000038451	Spsb2	1.5e-18	1.04e-16	0.248	chr6	[124808780 124808796 124808956 124809031]	[124809227]	False	5' UTR	
9388	ENSMUSG00000025856	Pdgfa	3.39e-18	2.24e-16	0.181	chr5	[138977228]	[138978622 138979146]	True	CDS	
9029	ENSMUSG00000029328	Hnrnpdl	5.99e-18	3.82e-16	0.233	chr5	[100034985]	[100035635 100036104]	True	3' UTR	
16896	ENSMUSG00000005268	Prlr	6.05e-18	3.82e-16	0.199	chr15	[10216124 10238414]	[10293651]	False	5' UTR	
782	ENSMUSG00000056050	Mia3	1e-17	6.22e-16	0.32	chr1	[183344386]	[183345186 183350964]	True	CDS	
18739	ENSMUSG00000024589	Nedd4l	1.09e-17	6.69e-16	0.365	chr18	[64997422 65023990 65051173]	[65074724]	True	CDS	
15825	ENSMUSG00000021244	Ylpm1	4.69e-17	2.79e-15	0.395	chr12	[85050373 85051779]	[85057222]	False	CDS	
23084	ENSMUSG00000042079	Hnrnpf	1.47e-16	8.5e-15	0.106	chr6	[117906840 117907209 117907880 117907919 117917072]	[117917470]	True	5' UTR	
