cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
14327	ENSMUSG00000019929	Dcn	5.01e-118	5.36e-115	0.272	chr10	[97479790 97479871 97479968 97482548]	[97483339]	True	5' UTR	
14873	ENSMUSG00000018217	Pmp22	1.34e-106	7.18e-104	0.357	chr11	[63129151 63131655]	[63133125]	False	5' UTR	
24300	ENSMUSG00000018819	Lsp1	9.35e-78	3.33e-75	0.461	chr7	[142460967 142472365 142475418 142477367]	[142484479]	True	CDS	
19544	ENSMUSG00000026879	Gsn	2.15e-56	5.749999999999999e-54	0.245	chr2	[35266904 35282602 35282722]	[35283905]	True	5' UTR	
17722	ENSMUSG00000035258	Abi3bp	1.78e-50	3.7999999999999994e-48	0.709	chr16	[56594537 56606194 56637125]	[56642489]	True	CDS	
22708	ENSMUSG00000029761	Cald1	1.3299999999999999e-46	2.37e-44	0.668	chr6	[34686075 34709698]	[34741789]	True	CDS	
13884	ENSMUSG00000038587	Akap12	2.04e-41	3.11e-39	0.666	chr10	[4313858 4334710]	[4353142]	True	CDS	
851	ENSMUSG00000015305	Sash1	2.29e-40	3.07e-38	0.629	chr10	[8756762]	[8762095 8780519]	True	CDS	
22982	ENSMUSG00000064080	Fbln2	3.9899999999999996e-38	4.75e-36	0.627	chr6	[91257827 91259771]	[91263339]	True	CDS	
12083	ENSMUSG00000031996	Aplp2	8.07e-38	8.64e-36	0.34	chr9	[31164674]	[31167561 31168708]	True	CDS	
4721	ENSMUSG00000022892	App	1.6600000000000001e-37	1.62e-35	0.272	chr16	[85030366]	[85040251 85043576 85056324]	True	CDS	
622	ENSMUSG00000040181	Fmo1	2.53e-36	2.26e-34	0.912	chr1	[162859563]	[162859801 162866239]	True	5' UTR	
7518	ENSMUSG00000028108	Ecm1	2.5000000000000004e-35	2.06e-33	0.123	chr3	[95735420]	[95735847 95736472]	False	CDS	
25502	ENSMUSG00000032374	Plod2	1.1699999999999999e-34	8.91e-33	0.419	chr9	[92600883 92602048]	[92602948]	True	CDS	
20401	ENSMUSG00000027763	Mbnl1	4.21e-34	3e-32	0.403	chr3	[60473174 60501424 60528524]	[60528756]	True	5' UTR	
10691	ENSMUSG00000030605	Mfge8	1.0400000000000001e-31	6.93e-30	0.117	chr7	[79143051]	[79143278 79145247]	True	CDS	
557	ENSMUSG00000006014	Prg4	4.45e-27	2.8e-25	0.354	chr1	[150460772]	[150462097 150465498]	True	CDS	
6211	ENSMUSG00000025781	Atp5c1	8.240000000000001e-27	4.9e-25	0.247	chr2	[10056162]	[10056770 10058996]	True	CDS	
22897	ENSMUSG00000000693	Loxl3	5.460000000000001e-26	3.0799999999999997e-24	0.491	chr6	[83038610 83044807]	[83047988]	False	CDS	
20561	ENSMUSG00000074457	S100a16	1.39e-25	7.46e-24	0.213	chr3	[90537418 90541318]	[90541994]	True	5' UTR	
246	ENSMUSG00000026193	Fn1	9.84e-25	5.0099999999999997e-23	0.074	chr1	[71590893]	[71593071 71598374]	False	CDS	
7426	ENSMUSG00000028041	Adam15	6.670000000000001e-21	3.24e-19	0.263	chr3	[89340180]	[89340401 89341508]	True	CDS	
22418	ENSMUSG00000034118	Tpst1	7.56e-21	3.52e-19	0.139	chr5	[130076913 130079662]	[130101590]	False	5' UTR	
19643	ENSMUSG00000064289	Tank	1.88e-20	8.4e-19	0.497	chr2	[61578694 61593209]	[61613651]	True	CDS	
18591	ENSMUSG00000024395	Lims2	2.1e-20	8.99e-19	0.379	chr18	[31922477 31931551]	[31941740]	True	5' UTR	
