cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
7194	ENSMUSG00000027506	Tpd52	4.657431566994131e-249	0.437	False	CDS		1.293730990831703e-252	chr3	[8953800]	[8963832 8963847 8963851 9003288 9004405]
25408	ENSMUSG00000033543	Gtf2a2	5.7726605766859416e-86	0.22	False	CDS		3.207033653714412e-89	chr9	[70019516 70020544]	[70022437]
20307	ENSMUSG00000027695	Pld1	4.670206398574265e-82	0.673	True	5' UTR		3.891838665478554e-85	chr3	[27952663 27984337]	[28024163]
21665	ENSMUSG00000028937	Acot7	1.6791353656810645e-48	0.249	True	5' UTR		2.3321324523348122e-51	chr4	[152174436 152178341 152199958 152200090]	[152206764]
1756	ENSMUSG00000020444	Guk1	7.0210028871746e-42	0.161	True	CDS		1.1701671478624333e-44	chr11	[59186888]	[59187703 59187707 59191751]
782	ENSMUSG00000056050	Mia3	8.012100442572557e-42	0.482	True	CDS		1.557908419389108e-44	chr1	[183344386]	[183345186 183350964]
8050	ENSMUSG00000028496	Mllt3	3.4795160132217976e-39	0.555	True	CDS		7.732257807159549e-42	chr4	[87794012]	[87806211 87840682]
18571	ENSMUSG00000024277	Mapre2	1.906056034042653e-37	0.507	True	CDS		4.765140085106632e-40	chr18	[23772660 23804222]	[23832853]
16912	ENSMUSG00000022270	Retreg1	2.3246328332212187e-37	0.317	True	CDS		6.4573134256144975e-40	chr15	[25895144 25933627 25940951 25941244]	[25964224]
14827	ENSMUSG00000042569	Dhrs7b	2.7796789061336346e-37	0.261	False	CDS		8.493463324297216e-40	chr11	[60830732 60830761 60837930 60841979]	[60844165]
11162	ENSMUSG00000038650	Rnh1	4.013179946193025e-35	0.218	True	CDS		1.3377266487310083e-37	chr7	[141166788]	[141168574 141168676 141172742]
394	ENSMUSG00000026277	Stk25	2.8446959588953983e-33	0.297	False	5' UTR		1.0272513184900046e-35	chr1	[93635384]	[93635547 93654019]
7648	ENSMUSG00000027957	Slc35a3	4.634351853465574e-33	0.279	True	CDS		1.8022479430143895e-35	chr3	[116694635]	[116711683 116712083 116712617]
16896	ENSMUSG00000005268	Prlr	1.0833356615629151e-30	0.511	False	5' UTR		4.5138985898454794e-33	chr15	[10216124 10238414]	[10293651]
22954	ENSMUSG00000029993	Nfu1	8.009830869123281e-28	0.133	False	CDS		3.559924830721458e-30	chr6	[87023189 87025122]	[87025486]
21745	ENSMUSG00000003161	Sri	3.3342226044812535e-27	0.173	True	CDS		1.667111302240627e-29	chr5	[8046216 8056640 8056890]	[8057538]
20136	ENSMUSG00000017950	Hnf4a	1.4515580582116374e-25	0.338	True	CDS		7.661000862783643e-28	chr2	[163506988 163547420]	[163551577]
15394	ENSMUSG00000020623	Map2k6	2.8733657348452117e-25	0.535	True	CDS		1.5963142971362291e-27	chr11	[110399426 110479436]	[110482539]
23132	ENSMUSG00000038451	Spsb2	1.2677841808361502e-24	0.275	False	5' UTR		7.39540772154421e-27	chr6	[124808780 124808796 124808956 124809031]	[124809227]
2752	ENSMUSG00000021236	Entpd5	1.47801577980111e-24	0.527	False	CDS		9.032318654340115e-27	chr12	[84399413]	[84400747 84400830 84405406]
14288	ENSMUSG00000060904	Arl1	3.4368241704964714e-24	0.056	False	CDS		2.1957487755949684e-26	chr10	[88737203 88740209]	[88741907]
1999	ENSMUSG00000001123	Lgals9	5.357612148180628e-22	0.114	False	CDS		3.869386551463787e-24	chr11	[78976702]	[78977669 78984778]
24430	ENSMUSG00000031570	Plpp5	8.420049292686999e-21	0.118	False	5' UTR		6.31503696951525e-23	chr8	[25716684 25720152]	[25720267]
24317	ENSMUSG00000000154	Slc22a18	2.939368671495726e-20	0.301	True	5' UTR		2.367824763149334e-22	chr7	[143473838 143475239]	[143476070]
18070	ENSMUSG00000041119	Pde9a	3.131947834143041e-20	0.321	True	CDS		2.630274420526854e-22	chr17	[31420289 31433209]	[31443166]
16486	ENSMUSG00000039197	Adk	3.131947834143041e-20	0.248	True	CDS		2.6969550794009526e-22	chr14	[21052701 21076322]	[21092367]
22985	ENSMUSG00000030096	Slc6a6	8.316714221052056e-20	0.29	False	5' UTR		7.392634863157384e-22	chr6	[91699033 91705978]	[91723282]
