cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
7194	ENSMUSG00000027506	Tpd52	4.52e-268	1.64e-264	0.334	chr3	[8953800]	[8963832 8963847 8963851 9003288 9004405]	True	CDS	
394	ENSMUSG00000026277	Stk25	2.17e-194	3.93e-191	0.683	chr1	[93635384]	[93635547 93654019]	False	5' UTR	
10114	ENSMUSG00000015766	Eps8	2.95e-179	3.56e-176	0.781	chr6	[137539402]	[137570702 137591418]	True	5' UTR	
14827	ENSMUSG00000042569	Dhrs7b	9.070000000000001e-156	8.21e-153	0.476	chr11	[60830732 60830761 60837930 60841979]	[60844165]	False	CDS	
19092	ENSMUSG00000024899	Papss2	1.12e-141	8.12e-139	0.396	chr19	[32641412 32646344]	[32651896]	True	CDS	
16912	ENSMUSG00000022270	Retreg1	4.66e-115	2.81e-112	0.662	chr15	[25895144 25933627 25940951 25941244]	[25964224]	True	CDS	
25656	ENSMUSG00000032497	Lrrfip2	2.48e-99	1.29e-96	0.462	chr9	[111161390 111167245 111170325]	[111188762]	False	CDS	
20136	ENSMUSG00000017950	Hnf4a	8.36e-91	3.78e-88	0.548	chr2	[163506988 163547420]	[163551577]	True	CDS	
16486	ENSMUSG00000039197	Adk	9.68e-86	3.89e-83	0.378	chr14	[21052701 21076322]	[21092367]	True	CDS	
24430	ENSMUSG00000031570	Plpp5	3.1e-81	1.12e-78	0.321	chr8	[25716684 25720152]	[25720267]	False	5' UTR	
14288	ENSMUSG00000060904	Arl1	5.37e-78	1.77e-75	0.14	chr10	[88737203 88740209]	[88741907]	False	CDS	
21745	ENSMUSG00000003161	Sri	4.29e-77	1.2899999999999999e-74	0.27	chr5	[8046216 8056640 8056890]	[8057538]	True	CDS	
4033	ENSMUSG00000022565	Plec	5.86e-77	1.6299999999999998e-74	0.383	chr15	[76194813]	[76195424 76197980 76199549 76205598 76208965 76229358]	True	CDS	
7648	ENSMUSG00000027957	Slc35a3	1.38e-75	3.5600000000000004e-73	0.505	chr3	[116694635]	[116711683 116712083 116712617]	False	CDS	
15941	ENSMUSG00000017843	Ppp2r5c	6.7e-72	1.62e-69	0.265	chr12	[110466021 110485953]	[110522491]	True	CDS	
919	ENSMUSG00000019791	Hint3	5.49e-71	1.24e-68	0.189	chr10	[30614831]	[30618203 30629324]	True	CDS	
3139	ENSMUSG00000015937	Macroh2a1	6.46e-68	1.37e-65	0.345	chr13	[56084286]	[56088252 56089758 56096124]	True	CDS	
18070	ENSMUSG00000041119	Pde9a	6.479999999999999e-67	1.3e-64	0.47	chr17	[31420289 31433209]	[31443166]	True	CDS	
21830	ENSMUSG00000029162	Khk	6.560000000000001e-66	1.25e-63	0.537	chr5	[30924856 30926823 30927157]	[30928443]	True	CDS	
4629	ENSMUSG00000110573	Gm5485	2.74e-65	4.97e-63	0.108	chr16	[48401674]	[48410001 48412232]	False	CDS	
18739	ENSMUSG00000024589	Nedd4l	8.78e-65	1.51e-62	0.596	chr18	[64997422 65023990 65051173]	[65074724]	True	CDS	
20307	ENSMUSG00000027695	Pld1	3.5399999999999997e-62	5.83e-60	0.502	chr3	[27952663 27984337]	[28024163]	True	5' UTR	
2707	ENSMUSG00000021118	Plek2	3.85e-61	6.06e-59	0.284	chr12	[78900220]	[78906891 78908223]	False	CDS	
22796	ENSMUSG00000038388	Mpp6	5.8e-60	8.75e-58	0.236	chr6	[50110465 50143785 50144719 50144854]	[50145774]	False	5' UTR	
15193	ENSMUSG00000047040	Prr15l	2.2299999999999998e-54	3.1099999999999996e-52	0.251	chr11	[96929510 96931554]	[96934515]	True	5' UTR	
20030	ENSMUSG00000027456	Sdcbp2	2.55e-52	3.42e-50	0.079	chr2	[151572705 151572804 151573971]	[151582693]	True	5' UTR	
3298	ENSMUSG00000021639	Gtf2h2	1.58e-50	1.9699999999999998e-48	0.578	chr13	[100460421]	[100461848 100463517 100468915]	False	CDS	
2752	ENSMUSG00000021236	Entpd5	2.99e-49	3.6100000000000004e-47	0.376	chr12	[84399413]	[84400747 84400830 84405406]	False	CDS	
10614	ENSMUSG00000003271	Sult2b1	3.4199999999999996e-48	4e-46	0.365	chr7	[45731419]	[45731827 45733619]	False	CDS	
15194	ENSMUSG00000047040	Prr15l	2.21e-44	2.29e-42	0.189	chr11	[96929510 96931554]	[96934518]	True	5' UTR	
1322	ENSMUSG00000020130	Tbc1d15	1.72e-43	1.7299999999999999e-41	0.151	chr10	[115221686]	[115222606 115229125]	False	CDS	
19216	ENSMUSG00000025025	Mxi1	1.8600000000000002e-43	1.82e-41	0.402	chr19	[53310974 53329721]	[53331351]	True	CDS	
2814	ENSMUSG00000057963	Itpk1	2.62e-41	2.5e-39	0.268	chr12	[102579173]	[102580281 102584287]	False	CDS	
1538	ENSMUSG00000020173	Cobl	8.44e-41	7.83e-39	0.608	chr11	[12386767]	[12412031 12464682]	True	CDS	
782	ENSMUSG00000056050	Mia3	2.32e-38	2.05e-36	0.475	chr1	[183344386]	[183345186 183350964]	True	CDS	
14172	ENSMUSG00000035852	Misp	4.25e-36	3.66e-34	0.063	chr10	[79821094 79822687 79822736 79822741 79824852]	[79825696]	True	5' UTR	
18571	ENSMUSG00000024277	Mapre2	4.48e-36	3.77e-34	0.369	chr18	[23772660 23804222]	[23832853]	True	CDS	
19225	ENSMUSG00000024981	Acsl5	1.22e-35	1e-33	0.223	chr19	[55252077 55254167]	[55268644]	True	5' UTR	
18643	ENSMUSG00000046727	Cystm1	3.4700000000000003e-35	2.7900000000000002e-33	0.078	chr18	[36348817 36350809]	[36366515]	True	5' UTR	
3327	ENSMUSG00000021710	Nln	1.13e-34	8.850000000000001e-33	0.47	chr13	[104035724]	[104036454 104036854]	True	CDS	
