cluster	gene_id	gene_name	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	p_value	chromosome	start	end
1417	ENSMUSG00000090841	Myl6	1.1367154700494169e-64	0.469	True	CDS	1447.0	6.386041966569757e-67	chr10	[128491034]	[128491720 128492059]
14873	ENSMUSG00000018217	Pmp22	6.067566511514909e-33	0.424	False	5' UTR	154.0	9.147161794619084e-35	chr11	[63129151 63131655]	[63133125]
659	ENSMUSG00000026670	Uap1	6.067566511514909e-33	0.33	True	CDS	236.0	1.022623569356445e-34	chr1	[170143464]	[170147996 170149271]
14327	ENSMUSG00000019929	Dcn	2.218577911887184e-32	0.301	True	5' UTR	16.0	4.985568341319515e-34	chr10	[97479790 97482548]	[97483339]
22882	ENSMUSG00000056737	Capg	4.0757455463086154e-32	0.629	True	5' UTR	1141.0	1.144872344468712e-33	chr6	[72544467 72549502]	[72555273]
21570	ENSMUSG00000028745	Capzb	2.8596671950709763e-30	0.458	True	CDS	1113.0	9.639327623834748e-32	chr4	[139287833 139288974]	[139291003]
22708	ENSMUSG00000029761	Cald1	2.705143480358662e-26	0.24	True	CDS	1258.0	1.063820469803968e-27	chr6	[34686075 34709698]	[34741789]
20982	ENSMUSG00000073889	Il11ra1	1.7122907404042186e-23	0.231	True	5' UTR	1546.0	7.695688720917834e-25	chr4	[41760552 41762424]	[41763582]
16502	ENSMUSG00000025290	Rps24	3.0585527368589236e-23	0.104	True	CDS	355.0	1.5464592489736127e-24	chr14	[24493494 24495450]	[24495775]
12264	ENSMUSG00000037206	Islr	3.4938034729614366e-16	0.564	True	5' UTR	36.0	1.962810939865976e-17	chr9	[58158231]	[58158427 58158962]
6211	ENSMUSG00000025781	Atp5c1	1.5188184893880644e-10	0.323	True	CDS	6172.0	9.385956956892534e-12	chr2	[10056162]	[10056770 10058996]
15389	ENSMUSG00000020612	Prkar1a	4.635025721041903e-10	0.347	True	5' UTR	2709.0	3.1247364411518444e-11	chr11	[109650625 109651074]	[109653779]
11614	ENSMUSG00000031683	Lsm6	9.68009642976073e-10	0.318	False	5' UTR	5449.0	7.069733347578059e-11	chr8	[78813081]	[78813206 78819987 78821048]
10991	ENSMUSG00000030695	Aldoa	7.328966527592871e-09	0.167	True	CDS	7565.0	5.764355695859561e-10	chr7	[126797777]	[126799045 126800002 126800288]
25874	ENSMUSG00000023092	Fhl1	1.6039270864923817e-08	0.404	True	5' UTR	298.0	1.351623949291333e-09	chrX	[56754392 56786583]	[56787989]
14052	ENSMUSG00000004207	Psap	5.1525810884817816e-08	0.104	True	CDS	588.0	4.631533562680253e-09	chr10	[60296003 60297546]	[60299098]
4033	ENSMUSG00000022565	Plec	5.830119729935073e-08	0.424	True	CDS	2506.0	5.568091876904282e-09	chr15	[76194813]	[76199549 76205598 76229358]
17702	ENSMUSG00000055447	Cd47	2.689381529298657e-07	0.133	True	CDS	764.0	2.719599299290777e-08	chr16	[49868113 49869081]	[49884165]
10691	ENSMUSG00000030605	Mfge8	1.1234591274652544e-06	0.155	True	CDS	772.0	1.1991979450471813e-07	chr7	[79143051]	[79143278 79145247]
25404	ENSMUSG00000011958	Bnip2	2.7401492716357888e-05	0.411	True	CDS	3578.0	3.078819406332347e-06	chr9	[70003668 70004342]	[70007064]
1842	ENSMUSG00000018736	Ndel1	6.200862642118514e-05	0.263	True	CDS	2792.0	7.31562446542072e-06	chr11	[68822666]	[68826170 68829915]
15896	ENSMUSG00000064215	Ifi27	7.198364396118341e-05	0.156	True	CDS	2113.0	8.896854871606939e-06	chr12	[103436683 103437525]	[103437676]
23084	ENSMUSG00000042079	Hnrnpf	0.00025224733510622216	0.257	True	5' UTR	4021.0	3.259375678338826e-05	chr6	[117906840 117907209]	[117917470]
24766	ENSMUSG00000056608	Chd9	0.0004035240238908814	0.22	False	5' UTR	1842.0	5.5158896268837856e-05	chr8	[90849760 90876709]	[90890977]
18722	ENSMUSG00000024576	Csnk1a1	0.0004035240238908814	0.121	True	CDS	4328.0	5.8015486964911374e-05	chr18	[61569563 61571958]	[61575410]
24589	ENSMUSG00000007888	Crlf1	0.0004035240238908814	0.159	True	CDS	323.0	5.894171135484785e-05	chr8	[70493401 70498879]	[70499093]
10548	ENSMUSG00000008140	Emc10	0.00092453186227624	0.227	True	CDS	1003.0	0.00014543197833558833	chr7	[44490971]	[44491163 44491955]
1633	ENSMUSG00000046879	Irgm1	0.001081323456655284	0.247	True	CDS	5240.0	0.00017617067552249012	chr11	[48867004]	[48868562 48871094]
5223	ENSMUSG00000023942	Slc29a1	0.0012813751583201332	0.195	True	CDS	302.0	0.0002159621053348539	chr17	[45588387]	[45588996 45589002]
1652	ENSMUSG00000015837	Sqstm1	0.0015399572856119525	0.069	True	CDS	555.0	0.00026819480816837383	chr11	[50200948]	[50202399 50202513]
2588	ENSMUSG00000047446	Arl4a	0.00200176539370549	0.15	True	5' UTR	573.0	0.0003598679359470544	chr12	[40036834]	[40037263 40037838]
15405	ENSMUSG00000057322	Rpl38	0.0020192954938993454	0.103	True	5' UTR	330.0	0.0003743637713408899	chr11	[114668610 114668627]	[114668781]
10586	ENSMUSG00000003420	Fcgrt	0.0024390975098158105	0.1	True	CDS	513.0	0.00046589502996481765	chr7	[45102186]	[45102402 45102414]
1724	ENSMUSG00000018340	Anxa6	0.003151118956133448	0.138	True	CDS	3588.0	0.0006203896041881622	chr11	[54986216]	[54987051 54991391]
6562	ENSMUSG00000026970	Rbms1	0.003151118956133448	0.189	True	CDS	3005.0	0.0006373049574202478	chr2	[60842473]	[60881118 60962691]
24424	ENSMUSG00000031565	Fgfr1	0.003219431802622016	0.218	True	CDS	2189.0	0.000669207734252891	chr8	[25532429 25555775]	[25557731]
15048	ENSMUSG00000001105	Ift20	0.0035161090240112837	0.254	True	5' UTR	1229.0	0.0007506300163619594	chr11	[78536577 78538739]	[78538834]
10092	ENSMUSG00000030189	Ybx3	0.004086945004107374	0.134	True	CDS	2571.0	0.0008954542424729641	chr6	[131370415]	[131375974 131379358]
9695	ENSMUSG00000004980	Hnrnpa2b1	0.004171497332437803	0.07	True	CDS	1120.0	0.0009388101030573439	chr6	[51467296]	[51467391 51469671]
4030	ENSMUSG00000002524	Puf60	0.004171497332437803	0.186	True	CDS	6899.0	0.0009608505091570216	chr15	[76072569]	[76074607 76075542]
17507	ENSMUSG00000022841	Ap2m1	0.004735554623062272	0.158	True	CDS	3861.0	0.0011173780571270533	chr16	[20540416 20540814]	[20540975]
11790	ENSMUSG00000014846	Tppp3	0.005998071949759899	0.056	True	5' UTR	515.0	0.001448972437301549	chr8	[105468634]	[105468719 105471280]
23917	ENSMUSG00000030704	Rab6a	0.006111172935619239	0.152	True	CDS	7442.0	0.0015106270177935198	chr7	[100629772 100629944]	[100631742]
21694	ENSMUSG00000029064	Gnb1	0.008295588331685045	0.164	True	5' UTR	7695.0	0.002114888803786768	chr4	[155491581 155515680]	[155527413]
19228	ENSMUSG00000024985	Tcf7l2	0.008295588331685045	0.209	True	CDS	602.0	0.002143803726165798	chr19	[55743198 55755083]	[55817764]
11162	ENSMUSG00000038650	Rnh1	0.008702891851258334	0.139	True	CDS	5918.0	0.002297954589938998	chr7	[141166788]	[141168676 141172742]
9667	ENSMUSG00000009281	Rarres2	0.00917052038473842	0.059	True	5' UTR	576.0	0.0024961046575754037	chr6	[48572291]	[48572594 48572740]
2333	ENSMUSG00000020620	Abca8b	0.00917052038473842	0.173	False	5' UTR	5258.0	0.0025244690946751827	chr11	[109981780]	[109982167 109995612]
4716	ENSMUSG00000022892	App	0.015261911812464984	0.179	True	CDS	448.0	0.004372794957504012	chr16	[84965771]	[84971408 84978064]
20542	ENSMUSG00000027940	Tpm3	0.015806088695165213	0.076	True	CDS	6368.0	0.004617509057014557	chr3	[90090080 90091092]	[90099528]
20047	ENSMUSG00000019188	H13	0.017026690709219663	0.107	True	CDS	5736.0	0.005069744986453046	chr2	[152700269 152704195]	[152704622]
25338	ENSMUSG00000032294	Pkm	0.025125378035934932	0.093	True	CDS	4067.0	0.0077634595054855106	chr9	[59675196 59675735]	[59678044]
