cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	Annotated	Region	diff_exp_rank	coordinates
1139	ENSMUSG00000062210	Tnfaip8	3.74849597746006e-71	6.121293931192276e-68	0.543	True	CDS	15700.0	['chr18:49979627-50090200' 'chr18:50031364-50090200' 'chr18:50053620-50090200']
599	ENSMUSG00000030220	Arhgdib	2.4922038974903672e-56	2.0348844823008843e-53	0.185	True	5' UTR	162.0	['chr6:136933774-136935032' 'chr6:136933774-136939413' 'chr6:136933774-136939436' 'chr6:136933774-136939454' 'chr6:136933774-136939511' 'chr6:136933774-136940908' 'chr6:136933774-136941438' 'chr6:136933774-136941651' 'chr6:136933774-136941813']
1347	ENSMUSG00000029063	Nadk	1.4633754849986515e-44	7.965640556675993e-42	0.594	True	5' UTR	874.0	['chr4:155562456-155576993' 'chr4:155563980-155576993']
21	ENSMUSG00000026395	Ptprc	5.117674146187245e-38	1.6714323761447545e-35	0.532	True	CDS	4422.0	['chr1:138117026-138117754' 'chr1:138117026-138120020' 'chr1:138117026-138126303']
1193	ENSMUSG00000054766	Set	1.1964723504380376e-37	3.2563989137755263e-35	0.268	True	CDS	2506.0	['chr2:30062281-30068269' 'chr2:30066894-30068269']
1198	ENSMUSG00000026879	Gsn	3.781028260801482e-37	8.820598785555458e-35	0.257	True	5' UTR	273.0	['chr2:35256474-35283905' 'chr2:35266904-35283905' 'chr2:35282602-35283905']
664	ENSMUSG00000030695	Aldoa	4.3195366218000404e-35	8.817254129249334e-33	0.146	True	CDS	1231.0	['chr7:126797777-126797974' 'chr7:126797777-126799045' 'chr7:126797777-126800002' 'chr7:126797777-126800288']
881	ENSMUSG00000025351	Cd63	1.5315195614896936e-32	2.7788571599029665e-30	0.129	True	5' UTR	170.0	['chr10:128909053-128910395' 'chr10:128909959-128910395']
715	ENSMUSG00000006519	Cyba	2.248436827265196e-31	3.671697338924066e-29	0.064	True	CDS	338.0	['chr8:122426268-122426936' 'chr8:122426268-122427229']
1007	ENSMUSG00000025290	Rps24	2.9741373259060306e-31	4.41524204836777e-29	0.191	True	CDS	538.0	['chr14:24493494-24495775' 'chr14:24495450-24495775']
484	ENSMUSG00000003644	Rps6ka1	1.5016693912853384e-30	2.043521763307465e-28	0.147	False	CDS	549.0	['chr4:133872004-133872844' 'chr4:133872004-133874608' 'chr4:133872004-133874883' 'chr4:133872004-133880917']
760	ENSMUSG00000031133	Arhgef6	1.1565787896376468e-29	1.45284089498329e-27	0.592	False	CDS	1613.0	['chrX:57304651-57304775' 'chrX:57304651-57326112' 'chrX:57304651-57336952']
177	ENSMUSG00000015937	Macroh2a1	4.089354970642201e-28	4.451944444705808e-26	0.168	True	CDS	2055.0	['chr13:56084286-56088252' 'chr13:56084286-56089758' 'chr13:56084286-56096124']
987	ENSMUSG00000036006	Ripor2	1.4957467545336763e-27	1.5265965313459331e-25	0.526	True	CDS	9865.0	['chr13:24501688-24669960' 'chr13:24614748-24669960' 'chr13:24638937-24669960']
1554	ENSMUSG00000060470	Adgrg3	9.593724563397778e-27	9.215618948252104e-25	0.402	True	CDS	425.0	['chr8:95017821-95020933' 'chr8:95020785-95020933']
1491	ENSMUSG00000038623	Tm6sf1	1.2432486274896878e-26	1.1279027826059228e-24	0.279	True	CDS	645.0	['chr7:81859541-81863150' 'chr7:81862719-81863150']
1175	ENSMUSG00000052085	Dock8	2.81245552220712e-26	2.417231509349593e-24	0.499	True	CDS	1706.0	['chr19:25051590-25061108' 'chr19:25052639-25061108']
170	ENSMUSG00000060147	Serpinb6a	9.626478154349273e-26	7.860019413026182e-24	0.648	False	CDS	1163.0	['chr13:33931647-33935922' 'chr13:33931647-33965638' 'chr13:33931647-33996243']
1445	ENSMUSG00000030263	Lrmp	4.337875908408545e-25	3.3732149325862634e-23	0.317	True	5' UTR	6148.0	['chr6:145115732-145137460' 'chr6:145122107-145137460']
845	ENSMUSG00000019920	Lims1	5.088239517124314e-24	3.776861423392728e-22	0.309	False	CDS	1178.0	['chr10:58323688-58399021' 'chr10:58352198-58399021' 'chr10:58371700-58399021']
232	ENSMUSG00000022378	Fam49b	2.420358420231462e-23	1.718454478364338e-21	0.249	True	5' UTR	859.0	['chr15:63970969-63997898' 'chr15:63970969-64022570' 'chr15:63970969-64060195']
1043	ENSMUSG00000047888	Tnrc6b	2.2331820190032678e-20	1.5194942654301403e-18	0.46	True	CDS	1651.0	['chr15:80784807-80858681' 'chr15:80798805-80858681']
1123	ENSMUSG00000039770	Ypel5	1.4926824942254264e-19	9.027964863222673e-18	0.311	True	5' UTR	2466.0	['chr17:72836792-72846279' 'chr17:72837709-72846279' 'chr17:72837820-72846279']
1130	ENSMUSG00000024277	Mapre2	2.47100642199148e-19	1.4411262453971735e-17	0.341	True	CDS	5194.0	['chr18:23772660-23832853' 'chr18:23804222-23832853']
20	ENSMUSG00000026395	Ptprc	3.1623392404882605e-18	1.7807241309370102e-16	0.178	True	CDS	4422.0	['chr1:138115643-138116954' 'chr1:138115643-138126303']
1442	ENSMUSG00000042079	Hnrnpf	4.692423914701454e-18	2.5542427509024913e-16	0.074	False	5' UTR	15200.0	['chr6:117900507-117917470' 'chr6:117906840-117917470' 'chr6:117907209-117917470' 'chr6:117907880-117917470' 'chr6:117907919-117917470' 'chr6:117917072-117917470']
350	ENSMUSG00000024667	Tmem216	1.4097817727081632e-17	7.194292608851344e-16	0.323	True	CDS	99.0	['chr19:10555165-10555699' 'chr19:10555165-10555713' 'chr19:10555165-10556115']
867	ENSMUSG00000015889	Lta4h	3.3858240205407084e-17	1.675469886528175e-15	0.161	True	CDS	111.0	['chr10:93480787-93482962' 'chr10:93482333-93482962']
644	ENSMUSG00000052040	Klf13	4.38010701691121e-17	2.103739634887061e-15	0.222	True	CDS	16630.0	['chr7:63891798-63936230' 'chr7:63891798-63937663' 'chr7:63891798-63937967']
